depth,method,abundance_group,number_of_rows,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,Spearman_RA
5000,Raw shallow RA,Dominant (>=1e-2),6185,0.002137479302385479,0.0029157506992352248,0.028984938252691692,0.0393270125768016,0.9909818903358429
5000,Raw shallow RA,Common (1e-3 to 1e-2),11845,0.0006106632988478426,0.0008103775656437398,0.10796541664665689,0.19158416461024805,0.9143008883734839
5000,Raw shallow RA,Rare (1e-4 to 1e-3),23080,0.0002052014254568674,0.00027086850431718584,1.255564998596529,2.18249016997647,0.6232263023914039
5000,Raw shallow RA,Reference zero,30180,0.0,0.0,0.0,0.0,
5000,Raw shallow RA,Very rare (<1e-4),20150,6.203990717287417e-05,9.162718134732882e-05,2.973155523055853,3.176008195334141,0.27813740398920106
5000,Training-mean RA,Dominant (>=1e-2),6185,0.026170112361364385,0.04875490370241668,0.34074507247838565,0.47967239546695367,0.6116647839934387
5000,Training-mean RA,Common (1e-3 to 1e-2),11845,0.005410355108876556,0.015004960625945413,0.4539449926543646,0.5864837756065066,0.42656883453233085
5000,Training-mean RA,Rare (1e-4 to 1e-3),23080,0.0012063518943839964,0.0043192533704032665,0.4301382309306609,0.586420703784812,0.24170943505862177
5000,Training-mean RA,Reference zero,30180,0.0004801321842344261,0.0021066248592230656,4.347259513670815,4.365568851536222,
5000,Training-mean RA,Very rare (<1e-4),20150,0.0007888883691383678,0.0031784144595319802,0.9671256547602924,1.1253415502008104,0.03448617666301462
5000,Random Forest,Dominant (>=1e-2),6185,0.002274573506448933,0.0031697578225116994,0.029617257070185175,0.03977801468534082,0.9909672116284162
5000,Random Forest,Common (1e-3 to 1e-2),11845,0.0005972065011550864,0.0007953966803465855,0.10902474953469368,0.16785702754838527,0.9211617580343808
5000,Random Forest,Rare (1e-4 to 1e-3),23080,0.00017092604901669512,0.00022788155525772056,0.5776945572289675,1.0152276981784987,0.6775068332747997
5000,Random Forest,Reference zero,30180,1.5589353009375365e-06,8.317730616528588e-06,1.0842398867262084,1.3782578879056224,
5000,Random Forest,Very rare (<1e-4),20150,4.333822519824499e-05,6.0811024925348275e-05,1.364101320315383,1.6432337367039904,0.352688024597015
5000,XGBoost,Dominant (>=1e-2),6185,0.00525845297844078,0.013597669603682656,0.0422355156151131,0.05571801079907206,0.9864479217923887
5000,XGBoost,Common (1e-3 to 1e-2),11845,0.0006427440768162933,0.0008781961467158945,0.11284356187620057,0.17165338697176918,0.9172011738982602
5000,XGBoost,Rare (1e-4 to 1e-3),23080,0.0001773366369391891,0.0002373498487591647,0.5882960873710995,1.0042290492858013,0.6710037767032208
5000,XGBoost,Reference zero,30180,9.397173015076012e-07,3.868662853412629e-06,1.1105791318041498,1.3533570335414267,
5000,XGBoost,Very rare (<1e-4),20150,4.456598627114645e-05,6.21311468568548e-05,1.3530130528628281,1.6019865085488494,0.35776786372040176
