method,n_biological_samples,mean_signed_error,median_signed_error,signed_error_q25,signed_error_q75,median_signed_error_ci_low,median_signed_error_ci_high,proportion_overpredicted,proportion_underpredicted,mean_absolute_error,median_absolute_error
Raw shallow RA,72,-0.032848911969205474,-0.03245903242312731,-0.0432983020554407,-0.023352737327576367,-0.03640123847873764,-0.028575824344885523,0.027777777777777776,0.9722222222222222,0.038429100549136605,0.038018040002236256
Training-mean RA,72,0.6293028641223138,0.5956452047900767,0.30961746888088226,0.887953378742652,0.5040817913421161,0.7476214070589273,1.0,0.0,0.6293028641223138,0.5956452047900767
Random Forest,72,-0.08227935583876185,-0.08640523240044637,-0.10197934296324018,-0.06936095790674268,-0.09336638733565059,-0.07793786090855806,0.013888888888888888,0.9861111111111112,0.08290667751254864,0.08640523240044637
XGBoost,72,-0.06038519039644771,-0.09829132687620151,-0.12716735490690761,-0.030781563642887446,-0.11056697504450747,-0.0815283894364259,0.18055555555555555,0.8194444444444444,0.11700197233330578,0.10542923256496145
