method,n_biological_samples,mean_positive_prediction_rate,MAE_RA_mean,MAE_RA_median,RMSE_RA_mean,RMSE_RA_median,MAE_log10_RA_mean,MAE_log10_RA_median,RMSE_log10_RA_mean,RMSE_log10_RA_median
Raw shallow RA,72,0.0,0.00015147598145401857,0.00015258670434879334,0.00025252792077609193,0.00025515007022282776,3.864517720955149,3.8780388198723204,3.8983719003598103,3.9214196398448173
Training-mean RA,72,1.0,0.0009666419018786965,0.0007521589484219102,0.0030239166261097866,0.0023777896233446788,0.7658735831796538,0.7271368976639287,0.9479414809112802,0.9134377678089933
Random Forest,72,0.9996752627792911,0.00013213174338053732,0.00012903235848811894,0.00022410226041752284,0.0002218021629366843,1.417938301382806,1.448721464524429,1.6761550801906173,1.6739841887065485
XGBoost,72,0.9998571234049175,0.00013511113321252615,0.00013329773891942515,0.00023044543177623612,0.00022733442746907426,1.4099978931468942,1.439490995299432,1.6426251528326499,1.663101426087517
