depth,method,number_of_rows,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,positive_prediction_rate
2000,Raw shallow RA,31271,0.000146941221848117,0.0002571172604366187,3.853476630256267,3.8900405878078548,0.0
2000,Training-mean RA,31271,0.0009085870043301261,0.0035090781720505297,0.7597628446087787,0.9576265220192037,1.0
2000,Random Forest,31271,0.00012774326124242509,0.0002307397904897458,1.4053876396451623,1.6745594526081635,0.9999040644686771
2000,XGBoost,31271,0.00013019488871353522,0.00023472926989876096,1.3964387957118798,1.6401715757797242,0.9997441719164721
