sample_id,split,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,log10_shallow_ra,zero_in_shallow,shallow_rank,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,target_reference_ra,target_log10_reference_ra,is_other,pred_raw_shallow_ra,pred_training_mean_ra,pred_random_forest_ra,pred_xgboost_ra,log1p_shallow_count,abundance_group,shallow_detection_group
SRS2822180,test,4,258891,2000,0,0.0,-8.0,1,68,1.0,67,0.000107908434255,0.3867069486404834,0.0002697226814888,0.0033856750919385,0.00038085565570648725,-3.419228187773909,0,0.0,0.00010790843425500122,9.150836316048487e-08,3.183849660264164e-07,0.0,Rare (1e-4 to 1e-3),Shallow zero
SRS2822116,test,5,409,2000,0,0.0,-8.0,1,65,1.0,64,0.0003689609081321,0.5015105740181269,0.0015162228135537,0.0145491680182615,0.0,-8.0,0,0.0,0.0003689609081321042,2.9829646935788364e-08,5.001869619364017e-08,0.0,Reference zero,Shallow zero
SRS2821890,test,2,164928,2000,0,0.0,-8.0,1,109,1.0,108,0.0008788847666915,0.879154078549849,0.001356926727573,0.0129150498990564,9.651444959188175e-05,-4.015362666159651,0,0.0,0.00087888476669151,3.311828015232628e-05,3.4580731032107235e-05,0.0,Very rare (<1e-4),Shallow zero
SRS2821816,test,5,57440,2000,0,0.0,-8.0,1,84,1.0,83,0.0019832102085078,0.9848942598187312,0.0109299056296734,0.1942510747756012,0.00014863955689765776,-3.827836381024728,0,0.0,0.0019832102085078226,8.048038501247892e-05,7.950783647693696e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero
SRS2822268,test,3,117212,2000,0,0.0,-8.0,1,66,1.0,65,0.00020029076209,0.9305135951661632,0.0001987850969851,0.001337816399498,9.236083531139459e-05,-4.034465129025304,0,0.0,0.00020029076209000226,1.2342952639143126e-05,1.8449543330225015e-05,0.0,Very rare (<1e-4),Shallow zero
SRS2821824,test,5,189417,2000,0,0.0,-8.0,1,117,1.0,116,0.0001201573041043,0.4954682779456193,0.0002157882329578,0.0018350831804097,0.0002314656059255195,-3.635494770391835,0,0.0,0.00012015730410430136,6.773130288724457e-05,3.234065819844859e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero
SRS2821931,test,2,124698,2000,3,0.0015,-2.8239058456574235,0,44,0.4835164835164835,90,0.0018821350136201,0.9667673716012084,0.0028303302472964,0.0211460268919317,0.0013589995011267656,-2.8667775070110655,0,0.0015,0.0018821350136201211,0.001289373373308993,0.001211847159775777,1.3862943611198906,Common (1e-3 to 1e-2),Detected in shallow
SRS2821854,test,4,29321,2000,0,0.0,-8.0,1,96,1.0,95,0.0001117400921432,0.6132930513595166,0.000315810437811,0.0026350203970097,0.0,-8.0,0,0.0,0.00011174009214320126,1.81166952088043e-07,1.8199379199307262e-07,0.0,Reference zero,Shallow zero
SRS2821824,test,3,192431,2000,0,0.0,-8.0,1,122,1.0,121,0.0001661506473655,0.6978851963746223,0.0002586186625329,0.0016578491844844,8.572800219463686e-06,-5.066370996364076,0,0.0,0.00016615064736550186,9.77033259171405e-05,4.071472520534979e-06,0.0,Very rare (<1e-4),Shallow zero
SRS2822111,test,4,149360,2000,8,0.004,-2.39793892293719,0,21,0.3333333333333333,62,0.0036443757842617,0.9818731117824774,0.0039649076588021,0.0222320688924422,0.0037795822426411672,-2.4225550510418654,0,0.004,0.003644375784261741,0.0032260540692056272,0.0035433790634054833,2.1972245773362196,Common (1e-3 to 1e-2),Detected in shallow
SRS2821925,test,2,80933,2000,0,0.0,-8.0,1,54,1.0,53,8.703333793014278e-05,0.5347432024169184,0.0001600314615887,0.0009555506968231,0.0001274664763167287,-3.8945699497272575,0,0.0,8.703333793014377e-05,6.108176717932495e-06,2.451081418677692e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero
SRS2822019,test,4,250171,2000,0,0.0,-8.0,1,90,1.0,89,0.0027770875829705,0.9274924471299094,0.0083625122879893,0.0924635205744878,0.0002284256712383527,-3.641236078130401,0,0.0,0.002777087582970532,0.00022740246331782348,4.253622307030621e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero
SRS2822298,test,1,177245,2000,0,0.0,-8.0,1,78,1.0,77,0.000199397967756,0.6646525679758308,0.000264001312745,0.0018696646903982,0.0,-8.0,0,0.0,0.00019939796775600226,2.8435182746172246e-07,3.921560248784583e-07,0.0,Reference zero,Shallow zero
SRS2821925,test,2,257397,2000,0,0.0,-8.0,1,54,1.0,53,0.000157080682454,0.1903323262839879,0.0016443494252495,0.0237303171434907,0.0,-8.0,0,0.0,0.0001570806824540018,1.1593026126175293e-08,8.415612202838586e-09,0.0,Reference zero,Shallow zero
SRS2822280,test,2,99800,2000,0,0.0,-8.0,1,95,1.0,94,0.000178945661611,0.4259818731117825,0.0008085371580639,0.0080197521832563,6.719526945303052e-05,-4.172596673305506,0,0.0,0.00017894566161100203,1.4105016893009475e-07,2.1351572476179358e-07,0.0,Very rare (<1e-4),Shallow zero
SRS2822183,test,1,224005,2000,0,0.0,-8.0,1,116,1.0,115,0.0001551267007643,0.4078549848942598,0.000402133699931,0.0033242490491449,0.0,-8.0,0,0.0,0.00015512670076430176,2.4351447190293267e-06,1.3016859235488458e-06,0.0,Reference zero,Shallow zero
SRS2821916,test,2,87310,2000,3,0.0015,-2.8239058456574235,0,30,0.5084745762711864,58,0.0025290292004633,0.9909365558912386,0.0034345239529555,0.03014327231938,0.0018714325816412464,-2.727823493080099,0,0.0015,0.0025290292004633286,0.0013621748604643435,0.0014839037151038498,1.3862943611198906,Common (1e-3 to 1e-2),Detected in shallow
SRS2822218,test,4,170659,2000,0,0.0,-8.0,1,65,1.0,64,0.0006393986810023,0.7945619335347432,0.0008578753801034,0.0049339031410024,0.0,-8.0,0,0.0,0.0006393986810023073,1.305538675826208e-06,1.2228416652106685e-06,0.0,Reference zero,Shallow zero
SRS2821881,test,5,33751,2000,32,0.016,-1.7958797459101088,0,12,0.21052631578947367,56,0.0072486117675203,0.9335347432024168,0.0167324478370842,0.1843301919655045,0.017490932510762343,-1.7571867876514211,0,0.016,0.007248611767520383,0.01734315801516616,0.01759314520094742,3.4965075614664802,Dominant (>=1e-2),Detected in shallow
SRS2821894,test,4,14807,2000,104,0.052,-1.2839965728470393,0,5,0.078125,63,0.0282444378465975,1.0,0.0151177018539326,0.0872868217054263,0.05154108149020267,-1.287846388595499,0,0.052,0.02824443784659782,0.051887259162243536,0.050689072629971556,4.653960350157523,Dominant (>=1e-2),Detected in shallow
SRS2821824,test,1,254595,2000,0,0.0,-8.0,1,126,1.0,125,0.0001620413678883,0.676737160120846,0.0009144996576869,0.0118230026949491,7.715520197517317e-05,-4.112578502736796,0,0.0,0.00016204136788830186,4.485724510940388e-05,4.893350737443469e-05,0.0,Very rare (<1e-4),Shallow zero
SRS2821916,test,5,9456,2000,0,0.0,-8.0,1,66,1.0,65,0.0001179264307797,0.6918429003021148,0.000235178802523,0.0014995104903771,0.0,-8.0,0,0.0,0.00011792643077970135,6.293192688050109e-07,5.875701991272008e-07,0.0,Reference zero,Shallow zero
SRS2821987,test,4,233986,2000,0,0.0,-8.0,1,81,1.0,80,0.0006277564998318,0.6283987915407855,0.0022032620366809,0.0364416037566646,0.0,-8.0,0,0.0,0.0006277564998318072,3.9147243030629757e-07,2.733274572554948e-07,0.0,Reference zero,Shallow zero
SRS2822077,test,4,246206,2000,0,0.0,-8.0,1,63,1.0,62,0.0001089758255946,0.4078549848942598,0.0003131337088583,0.0027118291859317,2.138625719112898e-05,-4.669662190361205,0,0.0,0.00010897582559460123,4.383537624622646e-08,5.122558640311461e-08,0.0,Very rare (<1e-4),Shallow zero
SRS2822125,test,3,193619,2000,0,0.0,-8.0,1,65,1.0,64,0.0002951490147937,0.8580060422960725,0.000556771671378,0.0040507178639054,0.00010281836564495675,-3.987887066821349,0,0.0,0.00029514901479370335,2.5554139499497063e-06,2.106542733335642e-06,0.0,Rare (1e-4 to 1e-3),Shallow zero
