sample_id,split,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,log10_shallow_ra,log1p_shallow_count,zero_in_shallow,shallow_rank,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,target_reference_ra,target_log10_reference_ra,is_other
SRS2821814,train,1,227739,2000,46,0.023,-1.6382719751587604,3.8501476017100584,0,11,0.0990990990990991,110,0.1169303890828114,1.0,0.1254584030269547,0.4966737721569693,0.02214441184820668,-1.6547356538940676,0
SRS2821814,train,1,61324,2000,190,0.095,-1.022276348995946,5.25227342804663,0,3,0.02702702702702703,110,0.1107971284027013,1.0,0.0456910493842695,0.4001604357096113,0.10589571306898836,-0.9751215798835137,0
SRS2821814,train,1,103181,2000,287,0.1435,-0.8431480686655661,5.662960480135946,0,1,0.009009009009009009,110,0.0762453372659705,1.0,0.0454332528433432,0.2032411595799079,0.13237752752279108,-0.8781857018866609,0
SRS2821814,train,1,118090,2000,193,0.0965,-1.0154726416516002,5.267858159063328,0,2,0.018018018018018018,110,0.0508609229361784,0.9577039274924471,0.0607665946530233,0.2486033124478452,0.0984669253335857,-1.0067095787701241,0
SRS2821814,train,1,107380,2000,113,0.0565,-1.2479514753142882,4.736198448394496,0,5,0.04504504504504504,110,0.0508376987846189,1.0,0.0351877551589789,0.1372038107645957,0.0541150121447273,-1.266682159496891,0
SRS2821814,train,1,142355,2000,116,0.058,-1.2365719315587103,4.762173934797756,0,4,0.036036036036036036,110,0.0460576524661746,1.0,0.0378787180399688,0.1573756043186914,0.04987224377779881,-1.30214100512945,0
SRS2821814,train,1,171064,2000,21,0.0105,-1.9788102873164666,3.091042453358316,0,22,0.1981981981981982,110,0.0428606072847681,1.0,0.0379764302846811,0.1588800387702938,0.012444402384782815,-1.9050256056099348,0
SRS2821814,train,1,150579,2000,81,0.0405,-1.3925448695521392,4.406719247264253,0,8,0.07207207207207207,110,0.0347292398971269,1.0,0.0653841817978855,0.4151791165050914,0.040172234314374944,-1.3960739047353077,0
SRS2821814,train,1,6794,2000,5,0.0025,-2.6020582541535093,1.791759469228055,0,41,0.36936936936936937,110,0.0343481275500017,1.0,0.0361066054078862,0.1761113870036234,0.006703258572284786,-2.173713379871586,0
SRS2821814,train,1,58120,2000,37,0.0185,-1.7328280368432756,3.6375861597263857,0,14,0.12612612612612611,110,0.0331338683761734,1.0,0.0247564773189989,0.1252526685343452,0.019636604523516607,-1.7069333852095598,0
SRS2821814,train,1,250156,2000,28,0.014,-1.8538716541115285,3.367295829986474,0,18,0.16216216216216217,110,0.0283892602614295,1.0,0.0274002687416961,0.1486032587152901,0.011750417967887448,-1.9299463154597183,0
SRS2821814,train,1,14807,2000,42,0.021,-1.6777804984592337,3.7612001156935624,0,12,0.10810810810810811,110,0.0282444378465975,1.0,0.0151177018539326,0.0872868217054263,0.016277089050818587,-1.788422993702561,0
SRS2821814,train,1,58093,2000,8,0.004,-2.39793892293719,2.1972245773362196,0,33,0.2972972972972973,110,0.0249198567100263,0.9879154078549848,0.0345582222290967,0.1932584963636644,0.002365855966688748,-2.6260098630793136,0
SRS2821814,train,1,206672,2000,32,0.016,-1.7958797459101088,3.4965075614664802,0,15,0.13513513513513514,110,0.0211873881819857,1.0,0.017154727220551,0.0839411174305787,0.009558058105422542,-2.0196298792657563,0
SRS2821814,train,1,127050,2000,85,0.0425,-1.3716109677627635,4.454347296253507,0,7,0.06306306306306306,110,0.0200842755540336,0.9909365558912386,0.0161840768232662,0.0698131760078662,0.04515630421753257,-1.3452815136096186,0
SRS2821814,train,1,64509,2000,30,0.015,-1.8239084514147608,3.4339872044851463,0,16,0.14414414414414414,110,0.0162574048196209,1.0,0.0103154525058086,0.0673126938563199,0.013927005457241097,-1.8561419423933492,0
SRS2821814,train,1,106489,2000,62,0.031,-1.5086381660707557,4.143134726391533,0,9,0.08108108108108109,110,0.0150674783267538,0.9577039274924471,0.0192341150904138,0.083497235313764,0.033263934891643795,-1.4780262475074002,0
SRS2821814,train,1,197525,2000,41,0.0205,-1.6882459270933305,3.7376696182833684,0,13,0.11711711711711711,110,0.0149063691471301,0.9818731117824774,0.015211866148449,0.0666564299424184,0.020709125895082173,-1.68383802200596,0
SRS2821814,train,1,28602,2000,17,0.0085,-2.070580563351323,2.8903717578961645,0,24,0.21621621621621623,110,0.0147755809298305,1.0,0.0135068994825057,0.0547245191861005,0.012712532727674206,-1.8957675743750437,0
SRS2821814,train,1,174794,2000,6,0.003,-2.5228772976344773,1.9459101490553132,0,36,0.32432432432432434,110,0.0104154239974921,1.0,0.0056196577058383,0.0278447048516044,0.003359515472698022,-2.4737220616406996,0
SRS2821814,train,1,83222,2000,16,0.008,-2.0969094701402935,2.833213344056216,0,26,0.23423423423423423,110,0.0085439657592128,0.9093655589123868,0.009528083363703,0.034005753453848,0.007949276048074194,-2.099671875029732,0
SRS2821814,train,1,127774,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0075133189338517,0.7522658610271903,0.0512745078912388,0.5322550451158785,0.0,-8.0,0
SRS2821814,train,1,33751,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0072486117675203,0.9335347432024168,0.0167324478370842,0.1843301919655045,0.00022081322355761647,-3.655955254617889,0
SRS2821814,train,1,98439,2000,2,0.001,-2.9999956570768957,1.0986122886681098,0,66,0.5945945945945946,110,0.0065047222029195,0.9758308157099698,0.0132185968752778,0.1297128474098282,0.0014195135800132489,-2.847857388918623,0
