otu_id,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,is_other
227739,0.11693038908281145,1.0,0.1254584030269547,0.49667377215696934,0
61324,0.1107971284027013,1.0,0.04569104938426951,0.40016043570961135,0
103181,0.07624533726597055,1.0,0.0454332528433432,0.20324115957990796,0
118090,0.05086092293617849,0.9577039274924471,0.06076659465302339,0.2486033124478452,0
107380,0.050837698784618995,1.0,0.03518775515897899,0.13720381076459573,0
142355,0.04605765246617467,1.0,0.0378787180399688,0.15737560431869144,0
171064,0.0428606072847681,1.0,0.0379764302846811,0.15888003877029383,0
150579,0.034729239897126916,1.0,0.0653841817978855,0.41517911650509143,0
6794,0.034348127550001745,1.0,0.03610660540788623,0.1761113870036234,0
58120,0.03313386837617343,1.0,0.024756477318998906,0.1252526685343452,0
250156,0.028389260261429582,1.0,0.02740026874169613,0.1486032587152901,0
14807,0.02824443784659759,1.0,0.015117701853932655,0.08728682170542636,0
58093,0.024919856710026375,0.9879154078549849,0.03455822222909674,0.19325849636366443,0
206672,0.021187388181985792,1.0,0.017154727220551037,0.08394111743057879,0
127050,0.020084275554033693,0.9909365558912386,0.016184076823266263,0.06981317600786627,0
64509,0.016257404819620933,1.0,0.010315452505808682,0.06731269385631995,0
106489,0.015067478326753874,0.9577039274924471,0.019234115090413857,0.08349723531376406,0
197525,0.01490636914713014,0.9818731117824774,0.015211866148449063,0.06665642994241842,0
28602,0.014775580929830544,1.0,0.013506899482505783,0.05472451918610053,0
174794,0.010415423997492158,1.0,0.005619657705838317,0.027844704851604424,0
83222,0.008543965759212853,0.9093655589123867,0.009528083363703026,0.03400575345384806,0
127774,0.007513318933851702,0.7522658610271903,0.051274507891238844,0.5322550451158785,0
33751,0.007248611767520383,0.9335347432024169,0.016732447837084292,0.18433019196550457,0
98439,0.00650472220291957,0.9758308157099698,0.013218596875277868,0.12971284740982827,0
234685,0.0061821605630215165,0.9969788519637462,0.004405163137170148,0.022333540476226564,0
21282,0.005978442265298643,1.0,0.009820048747824875,0.06308474474293793,0
44470,0.005257805972844807,0.9546827794561934,0.041778268622067384,0.5880185523360106,0
42738,0.004662586966442016,0.9939577039274925,0.003631630128436,0.019835203275205347,0
117182,0.0040717053952754175,0.9879154078549849,0.005256478541514154,0.02583509513742072,0
136781,0.0039380646990787955,0.8549848942598187,0.010036261930299441,0.07623348341327206,0
62872,0.0038796188624384627,0.8398791540785498,0.004543477046185081,0.02084774467476087,0
21519,0.0037110457057562374,0.9909365558912386,0.0037973841082382383,0.04273304015572057,0
194712,0.0037103535847312443,0.8882175226586103,0.004490699623092277,0.020793926359702536,0
149360,0.003644375784261733,0.9818731117824774,0.003964907658802179,0.022232068892442253,0
258109,0.003445367606413751,0.8066465256797583,0.027661142082281206,0.48741518931932587,0
32169,0.00339680858700399,0.6797583081570997,0.0050051107396281765,0.033886992985858386,0
149885,0.0033318743847791624,0.8036253776435045,0.006678927796952978,0.0332623271406621,0
233398,0.0032046452428914998,0.9969788519637462,0.002819523926868102,0.01891308154807075,0
221734,0.0030966779944453853,0.918429003021148,0.002762165254777988,0.011008060064038865,0
241177,0.0029685269290342974,0.9335347432024169,0.0031146028855435067,0.017994441871236683,0
179894,0.0028559606616153635,0.945619335347432,0.005456282359654922,0.041631434537265526,0
250171,0.002777087582970524,0.9274924471299094,0.008362512287989355,0.09246352057448781,0
39556,0.00265049078427402,0.9697885196374623,0.0033855517402475595,0.02585657179295544,0
23619,0.002548693560490116,0.8972809667673716,0.004975481186764169,0.02481121898597627,0
87310,0.0025290292004633745,0.9909365558912386,0.003434523952955527,0.030143272319380004,0
17099,0.0024535226767881395,0.8489425981873112,0.0028705145560883162,0.01785297851942062,0
168466,0.002447651412697724,0.9788519637462235,0.0027280509870891596,0.026829132999278887,0
254706,0.00239480494388282,0.43202416918429004,0.02663623991012276,0.37152678769445235,0
60778,0.0022705146329524833,0.9758308157099698,0.005284934895422808,0.054610338115492756,0
264947,0.002204700058392278,0.8429003021148036,0.007056937281769877,0.059745472500517656,0
163285,0.0021622525192264833,0.8096676737160121,0.002610498799699147,0.014257150308615144,0
114712,0.002087939871580955,0.7250755287009063,0.00566130472955066,0.056530976044541034,0
207119,0.0020778196068682963,0.8912386706948641,0.002463245670737148,0.013160570044915991,0
213034,0.00205926812603784,0.7915407854984894,0.021408608223706462,0.2754897036664992,0
57440,0.001983210208507818,0.9848942598187311,0.010929905629673466,0.19425107477560125,0
124698,0.0018821350136201892,0.9667673716012085,0.002830330247296481,0.021146026891931735,0
131147,0.001712823855588885,0.797583081570997,0.0018259291368465736,0.009078716599607965,0
116634,0.0017111933344000456,0.8731117824773413,0.005128116801542945,0.042106080156782084,0
253302,0.0016121387648236772,0.6586102719033232,0.0060298565980384045,0.043327873284457946,0
230879,0.001585618496888399,0.8126888217522659,0.005758554802490185,0.060026451204196626,0
228316,0.001548778500343367,0.9879154078549849,0.003724423371291777,0.059827491282804186,0
127344,0.0013332141572657715,0.8217522658610272,0.0021088551872494115,0.01143506304232468,0
79943,0.001270165982169507,0.2084592145015106,0.007600145344941219,0.09180756634146905,0
101210,0.0012219404712254063,0.7129909365558912,0.0036301155871149003,0.028093611380207006,0
131089,0.0010987140912014348,0.6616314199395771,0.0038573799166315894,0.03289562841919815,0
174245,0.0010836829028233127,0.7794561933534743,0.003312871554298892,0.035978552278820373,0
57104,0.0009905923670257175,0.7945619335347432,0.0049250981992909025,0.04493171048964043,0
116906,0.0009567127942599247,0.7190332326283988,0.0012683614532086177,0.006805214359299469,0
148378,0.0009293110458781915,0.7129909365558912,0.003108065224489078,0.040486889358092866,0
110339,0.0009270584209986444,0.8821752265861027,0.003142524608485979,0.0366003152180258,0
233976,0.0008927084313389191,0.6465256797583081,0.0014619017075088818,0.008676379846620745,0
24669,0.0008909919195333758,0.770392749244713,0.0025112470412891634,0.02190116179736887,0
164928,0.0008788847666915202,0.879154078549849,0.0013569267275730667,0.012915049899056428,0
137295,0.0008588655027483665,0.56797583081571,0.001739319569874413,0.009269044622002032,0
