selection_rank,otu_id,detected_train_samples,otu_prevalence_train,otu_mean_ra_train,otu_std_ra_train,otu_max_ra_train,cumulative_mean_ra,selected_for_model
1,227739,331,1.0,0.11693038908281145,0.1254584030269547,0.49667377215696934,0.11693038908281145,True
2,61324,331,1.0,0.1107971284027013,0.04569104938426951,0.40016043570961135,0.22772751748551273,True
3,103181,331,1.0,0.07624533726597055,0.0454332528433432,0.20324115957990796,0.3039728547514833,True
4,118090,317,0.9577039274924471,0.05086092293617849,0.06076659465302339,0.2486033124478452,0.3548337776876618,True
5,107380,331,1.0,0.050837698784618995,0.03518775515897899,0.13720381076459573,0.40567147647228075,True
6,142355,331,1.0,0.04605765246617467,0.0378787180399688,0.15737560431869144,0.4517291289384554,True
7,171064,331,1.0,0.0428606072847681,0.0379764302846811,0.15888003877029383,0.4945897362232235,True
8,150579,331,1.0,0.034729239897126916,0.0653841817978855,0.41517911650509143,0.5293189761203504,True
9,6794,331,1.0,0.034348127550001745,0.03610660540788623,0.1761113870036234,0.5636671036703521,True
10,58120,331,1.0,0.03313386837617343,0.024756477318998906,0.1252526685343452,0.5968009720465255,True
11,250156,331,1.0,0.028389260261429582,0.02740026874169613,0.1486032587152901,0.6251902323079551,True
12,14807,331,1.0,0.02824443784659759,0.015117701853932655,0.08728682170542636,0.6534346701545527,True
13,58093,327,0.9879154078549849,0.024919856710026375,0.03455822222909674,0.19325849636366443,0.6783545268645791,True
14,206672,331,1.0,0.021187388181985792,0.017154727220551037,0.08394111743057879,0.6995419150465649,True
15,127050,328,0.9909365558912386,0.020084275554033693,0.016184076823266263,0.06981317600786627,0.7196261906005986,True
16,64509,331,1.0,0.016257404819620933,0.010315452505808682,0.06731269385631995,0.7358835954202195,True
17,106489,317,0.9577039274924471,0.015067478326753874,0.019234115090413857,0.08349723531376406,0.7509510737469735,True
18,197525,325,0.9818731117824774,0.01490636914713014,0.015211866148449063,0.06665642994241842,0.7658574428941036,True
19,28602,331,1.0,0.014775580929830544,0.013506899482505783,0.05472451918610053,0.7806330238239342,True
20,174794,331,1.0,0.010415423997492158,0.005619657705838317,0.027844704851604424,0.7910484478214264,True
21,83222,301,0.9093655589123867,0.008543965759212853,0.009528083363703026,0.03400575345384806,0.7995924135806393,True
22,127774,249,0.7522658610271903,0.007513318933851702,0.051274507891238844,0.5322550451158785,0.8071057325144909,True
23,33751,309,0.9335347432024169,0.007248611767520383,0.016732447837084292,0.18433019196550457,0.8143543442820113,True
24,98439,323,0.9758308157099698,0.00650472220291957,0.013218596875277868,0.12971284740982827,0.8208590664849308,True
25,234685,330,0.9969788519637462,0.0061821605630215165,0.004405163137170148,0.022333540476226564,0.8270412270479524,True
26,21282,331,1.0,0.005978442265298643,0.009820048747824875,0.06308474474293793,0.833019669313251,True
27,44470,316,0.9546827794561934,0.005257805972844807,0.041778268622067384,0.5880185523360106,0.8382774752860958,True
28,42738,329,0.9939577039274925,0.004662586966442016,0.003631630128436,0.019835203275205347,0.8429400622525378,True
29,117182,327,0.9879154078549849,0.0040717053952754175,0.005256478541514154,0.02583509513742072,0.8470117676478133,True
30,136781,283,0.8549848942598187,0.0039380646990787955,0.010036261930299441,0.07623348341327206,0.850949832346892,True
31,62872,278,0.8398791540785498,0.0038796188624384627,0.004543477046185081,0.02084774467476087,0.8548294512093305,True
32,21519,328,0.9909365558912386,0.0037110457057562374,0.0037973841082382383,0.04273304015572057,0.8585404969150867,True
33,194712,294,0.8882175226586103,0.0037103535847312443,0.004490699623092277,0.020793926359702536,0.862250850499818,True
34,149360,325,0.9818731117824774,0.003644375784261733,0.003964907658802179,0.022232068892442253,0.8658952262840797,True
35,258109,267,0.8066465256797583,0.003445367606413751,0.027661142082281206,0.48741518931932587,0.8693405938904935,True
36,32169,225,0.6797583081570997,0.00339680858700399,0.0050051107396281765,0.033886992985858386,0.8727374024774974,True
37,149885,266,0.8036253776435045,0.0033318743847791624,0.006678927796952978,0.0332623271406621,0.8760692768622765,True
38,233398,330,0.9969788519637462,0.0032046452428914998,0.002819523926868102,0.01891308154807075,0.8792739221051681,True
39,221734,304,0.918429003021148,0.0030966779944453853,0.002762165254777988,0.011008060064038865,0.8823706000996134,True
40,241177,309,0.9335347432024169,0.0029685269290342974,0.0031146028855435067,0.017994441871236683,0.8853391270286477,True
41,179894,313,0.945619335347432,0.0028559606616153635,0.005456282359654922,0.041631434537265526,0.888195087690263,True
42,250171,307,0.9274924471299094,0.002777087582970524,0.008362512287989355,0.09246352057448781,0.8909721752732336,True
43,39556,321,0.9697885196374623,0.00265049078427402,0.0033855517402475595,0.02585657179295544,0.8936226660575076,True
44,23619,297,0.8972809667673716,0.002548693560490116,0.004975481186764169,0.02481121898597627,0.8961713596179978,True
45,87310,328,0.9909365558912386,0.0025290292004633745,0.003434523952955527,0.030143272319380004,0.8987003888184611,True
46,17099,281,0.8489425981873112,0.0024535226767881395,0.0028705145560883162,0.01785297851942062,0.9011539114952493,True
47,168466,324,0.9788519637462235,0.002447651412697724,0.0027280509870891596,0.026829132999278887,0.903601562907947,True
48,254706,143,0.43202416918429004,0.00239480494388282,0.02663623991012276,0.37152678769445235,0.9059963678518298,True
49,60778,323,0.9758308157099698,0.0022705146329524833,0.005284934895422808,0.054610338115492756,0.9082668824847823,True
50,264947,279,0.8429003021148036,0.002204700058392278,0.007056937281769877,0.059745472500517656,0.9104715825431745,True
51,163285,268,0.8096676737160121,0.0021622525192264833,0.002610498799699147,0.014257150308615144,0.912633835062401,True
52,114712,240,0.7250755287009063,0.002087939871580955,0.00566130472955066,0.056530976044541034,0.914721774933982,True
53,207119,295,0.8912386706948641,0.0020778196068682963,0.002463245670737148,0.013160570044915991,0.9167995945408502,True
54,213034,262,0.7915407854984894,0.00205926812603784,0.021408608223706462,0.2754897036664992,0.9188588626668881,True
55,57440,326,0.9848942598187311,0.001983210208507818,0.010929905629673466,0.19425107477560125,0.9208420728753959,True
56,124698,320,0.9667673716012085,0.0018821350136201892,0.002830330247296481,0.021146026891931735,0.9227242078890161,True
57,131147,264,0.797583081570997,0.001712823855588885,0.0018259291368465736,0.009078716599607965,0.924437031744605,True
58,116634,289,0.8731117824773413,0.0017111933344000456,0.005128116801542945,0.042106080156782084,0.9261482250790051,True
59,253302,218,0.6586102719033232,0.0016121387648236772,0.0060298565980384045,0.043327873284457946,0.9277603638438288,True
60,230879,269,0.8126888217522659,0.001585618496888399,0.005758554802490185,0.060026451204196626,0.9293459823407172,True
61,228316,327,0.9879154078549849,0.001548778500343367,0.003724423371291777,0.059827491282804186,0.9308947608410606,True
62,127344,272,0.8217522658610272,0.0013332141572657715,0.0021088551872494115,0.01143506304232468,0.9322279749983263,True
63,79943,69,0.2084592145015106,0.001270165982169507,0.007600145344941219,0.09180756634146905,0.9334981409804959,True
64,101210,236,0.7129909365558912,0.0012219404712254063,0.0036301155871149003,0.028093611380207006,0.9347200814517213,True
65,131089,219,0.6616314199395771,0.0010987140912014348,0.0038573799166315894,0.03289562841919815,0.9358187955429227,True
66,174245,258,0.7794561933534743,0.0010836829028233127,0.003312871554298892,0.035978552278820373,0.936902478445746,True
67,57104,263,0.7945619335347432,0.0009905923670257175,0.0049250981992909025,0.04493171048964043,0.9378930708127717,True
68,116906,238,0.7190332326283988,0.0009567127942599247,0.0012683614532086177,0.006805214359299469,0.9388497836070316,True
69,148378,236,0.7129909365558912,0.0009293110458781915,0.003108065224489078,0.040486889358092866,0.9397790946529099,True
70,110339,292,0.8821752265861027,0.0009270584209986444,0.003142524608485979,0.0366003152180258,0.9407061530739085,True
71,233976,214,0.6465256797583081,0.0008927084313389191,0.0014619017075088818,0.008676379846620745,0.9415988615052474,True
72,24669,255,0.770392749244713,0.0008909919195333758,0.0025112470412891634,0.02190116179736887,0.9424898534247808,True
73,164928,291,0.879154078549849,0.0008788847666915202,0.0013569267275730667,0.012915049899056428,0.9433687381914723,True
74,137295,188,0.56797583081571,0.0008588655027483665,0.001739319569874413,0.009269044622002032,0.9442276036942207,True
75,182860,320,0.9667673716012085,0.000839035720722125,0.002386798112754667,0.034942154236960545,0.9450666394149427,True
76,121481,110,0.3323262839879154,0.0008315500769304366,0.0020638964863570666,0.01199959551925216,0.9458981894918732,True
77,249900,314,0.9486404833836858,0.0007808646005963128,0.00213856486790125,0.02629283114226407,0.9466790540924696,True
78,145222,229,0.6918429003021148,0.0007604187236067197,0.0026780719289448973,0.03147096186572709,0.9474394728160763,True
79,34262,311,0.9395770392749244,0.0007483980248292767,0.0009992563812790578,0.01453505341194326,0.9481878708409056,True
80,105705,302,0.9123867069486404,0.0007462551063153694,0.0008710714160370687,0.007954446666087108,0.9489341259472209,True
81,245736,228,0.6888217522658611,0.0007176538529003502,0.0008582844944110852,0.006581504417899619,0.9496517798001213,True
82,260520,174,0.525679758308157,0.0007085178752408639,0.001622775001678416,0.009471605892830023,0.9503602976753621,True
83,73737,246,0.743202416918429,0.0006970791518131583,0.003217601419826037,0.053531919486266254,0.9510573768271753,True
84,157587,266,0.8036253776435045,0.0006541112893560749,0.0019159370545271737,0.02106427012162277,0.9517114881165314,True
85,93004,257,0.7764350453172205,0.000639745760901533,0.000988245415965737,0.011545293072824156,0.9523512338774329,True
86,170659,263,0.7945619335347432,0.0006393986810023838,0.0008578753801034118,0.0049339031410024796,0.9529906325584353,True
87,233986,208,0.6283987915407855,0.0006277564998318039,0.0022032620366809583,0.03644160375666466,0.9536183890582671,True
88,190521,203,0.6132930513595166,0.0006114829620245756,0.0007990808759467183,0.003845461635371048,0.9542298720202917,True
89,185862,271,0.8187311178247734,0.000594487103086473,0.00122930914121685,0.010404817664770827,0.9548243591233783,True
90,39261,270,0.8157099697885196,0.0005936649204949107,0.0008587361748811753,0.004203241837350796,0.9554180240438732,True
91,181023,212,0.6404833836858006,0.0005816964093084034,0.001003015937603411,0.004021344056917485,0.9559997204531816,True
92,5592,277,0.8368580060422961,0.0005709376449736676,0.0010158335425135884,0.007341615605149249,0.9565706580981552,True
93,55775,237,0.716012084592145,0.0005645521438424957,0.0019663369107236904,0.0275657336726039,0.9571352102419978,True
94,18877,234,0.7069486404833837,0.0005624122937875851,0.0007651000711070406,0.0034255204271402004,0.9576976225357854,True
95,242803,223,0.6737160120845922,0.0005601872626808415,0.001398595788985025,0.011823228318073678,0.9582578097984662,True
96,73614,238,0.7190332326283988,0.0005529446483244489,0.0012651429607920008,0.012759201163057617,0.9588107544467906,True
97,230845,307,0.9274924471299094,0.0005024055307810156,0.0006673250889536755,0.009153291189810354,0.9593131599775717,True
98,55552,229,0.6918429003021148,0.0004886600606367334,0.0006489186472599497,0.003464890910075253,0.9598018200382085,True
99,78943,247,0.7462235649546828,0.00048411129804334284,0.0006618437590769548,0.006544173168890007,0.9602859313362518,True
100,209843,297,0.8972809667673716,0.0004571044555913353,0.0006701024230862608,0.00565566619536115,0.9607430357918432,True
101,88503,257,0.7764350453172205,0.00044400847175537117,0.0010493723293255805,0.009021864570662175,0.9611870442635986,True
102,103906,310,0.9365558912386707,0.00043566463053594816,0.0006993859073191572,0.005128598848368522,0.9616227088941345,True
103,1202,267,0.8066465256797583,0.0004314371075624119,0.003621202349470739,0.06425269368445667,0.9620541460016969,True
104,172024,191,0.5770392749244713,0.00040260150933870683,0.0005727760678815131,0.0037015102161681965,0.9624567475110356,True
105,167065,194,0.5861027190332326,0.0003985899021353363,0.000558182961340905,0.0030166535807264762,0.962855337413171,True
106,66728,231,0.6978851963746223,0.00038362663996210374,0.0007673526594138668,0.005592779830900657,0.963238964053133,True
107,92333,275,0.8308157099697885,0.00038025767007431163,0.0009877665946945845,0.007414289696181362,0.9636192217232074,True
108,166377,266,0.8036253776435045,0.0003786969182435575,0.0007017060294970369,0.007560321715817694,0.9639979186414509,True
109,104566,230,0.6948640483383686,0.00037667301729779845,0.0004916157014454618,0.0025684431731947933,0.9643745916587487,True
110,16188,279,0.8429003021148036,0.00037278581727431305,0.0009699538571465073,0.009630115999124535,0.964747377476023,True
111,409,166,0.5015105740181269,0.00036896090813217633,0.0015162228135537357,0.014549168018261548,0.9651163383841552,True
112,101509,97,0.2930513595166163,0.0003506149536531921,0.001550134711288249,0.015001632902457781,0.9654669533378084,True
113,168997,172,0.5196374622356495,0.0003494230173817035,0.0011893367381893753,0.011677806965070613,0.9658163763551901,True
114,237932,239,0.7220543806646526,0.0003481783097360429,0.0005457290207813714,0.002996475647813194,0.9661645546649261,True
115,232486,152,0.459214501510574,0.0003445151760852671,0.003241903376195268,0.04541710230332985,0.9665090698410114,True
116,112003,235,0.7099697885196374,0.00033501313125094387,0.001160510195353713,0.010552233556102708,0.9668440829722623,True
117,112852,220,0.6646525679758308,0.0003343208348485663,0.0008769432490963977,0.012987666750566323,0.9671784038071108,True
118,26524,161,0.486404833836858,0.0003335211770506103,0.0013181984640334727,0.017430235590715465,0.9675119249841615,True
119,69372,40,0.12084592145015106,0.00032684264293608825,0.0055400488726870265,0.10076672052719957,0.9678387676270976,True
120,125146,304,0.918429003021148,0.0003225976755049371,0.000816975287231887,0.012352423442289599,0.9681613653026026,True
121,242853,232,0.7009063444108762,0.00030124139356412123,0.0004949460319308168,0.005076356867887813,0.9684626066961667,True
122,219950,158,0.4773413897280967,0.0003002855896020365,0.0017294893192230981,0.015752468638109356,0.9687628922857687,True
123,225836,289,0.8731117824773413,0.000295784096721436,0.00026900439105767603,0.0012573344509639564,0.9690586763824902,True
124,214696,237,0.716012084592145,0.0002956610022648449,0.0006027131937615429,0.0039938612872806615,0.9693543373847551,True
125,205282,199,0.6012084592145015,0.00029533714310916114,0.0008306348313605582,0.006027029065501944,0.9696496745278642,True
126,193619,284,0.8580060422960725,0.00029514901479373777,0.0005567716713780141,0.004050717863905468,0.969944823542658,True
127,112467,252,0.7613293051359517,0.0002949572894525197,0.0005100745519865667,0.004944688069586559,0.9702397808321105,True
128,90282,156,0.47129909365558914,0.00028322776320275847,0.0009079659125974732,0.006197940578474454,0.9705230085953133,True
129,203984,101,0.30513595166163143,0.00027946867099694665,0.001527540983696698,0.02005921654342805,0.9708024772663102,True
130,223211,284,0.8580060422960725,0.00027678954053723904,0.00047009359130186857,0.004243102319984801,0.9710792668068474,True
131,4843,263,0.7945619335347432,0.00026519759338928633,0.0009480217597742867,0.007837779535485727,0.9713444644002367,True
132,83909,207,0.6253776435045317,0.0002642183060732801,0.0005672189765421057,0.005950266429840142,0.97160868270631,True
133,18617,276,0.8338368580060423,0.0002623557444307683,0.00034447719447988916,0.002486330137094857,0.9718710384507407,True
134,241510,59,0.1782477341389728,0.0002578822662974197,0.0022861804495522553,0.027520208120412525,0.9721289207170382,True
135,69371,250,0.7552870090634441,0.00025628712087491024,0.0003565815383618726,0.0022500138037656672,0.972385207837913,True
136,262354,167,0.5045317220543807,0.0002552251792692127,0.000593558753832212,0.0035999343077681065,0.9726404330171823,True
137,45066,232,0.7009063444108762,0.00025520583651442044,0.00045217315835774873,0.0025439028393238142,0.9728956388536967,True
138,69673,171,0.5166163141993958,0.00024562865726824126,0.0006890412302388131,0.005974099388457783,0.973141267510965,True
139,86908,283,0.8549848942598187,0.0002443500360949302,0.0004383498900631893,0.0030002961665743827,0.9733856175470599,True
140,43797,117,0.35347432024169184,0.00024350325721502947,0.0016826088875735064,0.018238604166941213,0.9736291208042749,True
141,150643,121,0.36555891238670696,0.00023797092661021344,0.0009094289949943171,0.007656416886840182,0.9738670917308851,True
142,77276,48,0.14501510574018128,0.000237171408118476,0.0017030517257961017,0.015983401451330388,0.9741042631390037,True
143,249070,80,0.24169184290030213,0.00023544635896578203,0.0010489682174097568,0.011122385778105768,0.9743397094979694,True
144,49837,142,0.42900302114803623,0.00023508172076743334,0.0012369187030124812,0.01222250855943747,0.9745747912187369,True
145,174377,202,0.6102719033232629,0.00023473021846278201,0.0012034998075448446,0.01533029824398402,0.9748095214371997,True
146,241754,160,0.48338368580060426,0.00022895165236318918,0.0013338621329692668,0.016593886462882096,0.9750384730895628,True
147,204285,173,0.5226586102719033,0.00022004728762213514,0.0009702960730381426,0.010048929341821434,0.975258520377185,True
148,76191,225,0.6797583081570997,0.00021963810116828734,0.0004642059950311333,0.003358246062284372,0.9754781584783533,True
149,93005,264,0.797583081570997,0.00021597051250914283,0.0003277935376995355,0.0021826656347556893,0.9756941289908624,True
150,95092,167,0.5045317220543807,0.00021551040304405627,0.0010910212379472424,0.017478415210132065,0.9759096393939064,True
151,211440,87,0.2628398791540785,0.00020810520927794037,0.0011254043340116135,0.008935899368540945,0.9761177446031843,True
152,130743,113,0.3413897280966767,0.00020665971922913926,0.0011184145636303894,0.014397180971558017,0.9763244043224135,True
153,219738,225,0.6797583081570997,0.0002034288936819551,0.000606503551711275,0.005251475285582806,0.9765278332160955,True
154,176092,257,0.7764350453172205,0.0002018207507833961,0.00026368739749319274,0.002756868940309141,0.9767296539668788,True
155,149687,99,0.2990936555891239,0.00020057724588317167,0.0010210793411067432,0.011921377064433589,0.976930231212762,True
156,117212,308,0.9305135951661632,0.00020029076209000457,0.00019878509698519875,0.001337816399498023,0.9771305219748521,True
157,117829,200,0.6042296072507553,0.00020004333723012177,0.0007528445912249812,0.010857509777596171,0.9773305653120822,True
158,177245,220,0.6646525679758308,0.00019939796775605447,0.00026400131274504745,0.0018696646903982878,0.9775299632798382,True
159,250391,69,0.2084592145015106,0.00019800504904343615,0.0007778528445891393,0.004607653779421875,0.9777279683288816,True
160,101428,226,0.6827794561933535,0.00019477192803587517,0.00034834623434285114,0.0030910806984426617,0.9779227402569175,True
161,218257,242,0.7311178247734139,0.00019075951185076954,0.00040588715166713036,0.0050785126379078865,0.9781134997687683,True
162,176063,168,0.5075528700906344,0.0001899694382991617,0.00037393947457693726,0.0021271714875602176,0.9783034692070675,True
163,241327,184,0.5558912386706949,0.00018687687781308493,0.0002748195430745746,0.0013308329804609521,0.9784903460848805,True
164,173876,201,0.6072507552870091,0.000183683529921154,0.0005271201081838929,0.004781433326590286,0.9786740296148017,True
165,175037,213,0.6435045317220544,0.00018305702789640996,0.0005159711415204509,0.005605971110991785,0.9788570866426981,True
166,228499,231,0.6978851963746223,0.00018176088222519293,0.000321714151453297,0.002247963230767028,0.9790388475249233,True
167,34140,168,0.5075528700906344,0.00018170792104783894,0.0007961104657061722,0.009884745488059309,0.9792205554459712,True
168,95651,97,0.2930513595166163,0.0001803783081447335,0.000833489339439998,0.010665178502224495,0.979400933754116,True
169,99800,141,0.4259818731117825,0.00017894566161100132,0.0008085371580639003,0.008019752183256366,0.979579879415727,True
170,32926,145,0.4380664652567976,0.00017735189924363676,0.0007965439099532599,0.008794490282045085,0.9797572313149706,True
171,56093,192,0.5800604229607251,0.0001767578266293289,0.0005492976865476875,0.006001730228534352,0.9799339891415999,True
172,220566,213,0.6435045317220544,0.0001767500200136513,0.000461870840653131,0.004051395881832783,0.9801107391616135,True
173,76593,60,0.18126888217522658,0.00017646246642417796,0.0012488234248957742,0.012532321294519977,0.9802872016280377,True
174,245191,127,0.38368580060422963,0.00017555962243100438,0.0005020352225871051,0.004158829315432535,0.9804627612504687,True
175,22066,217,0.6555891238670695,0.00017519049655252903,0.0005757875300828741,0.005623242736644799,0.9806379517470213,True
176,211915,209,0.6314199395770392,0.00017470911420918692,0.00026357673131604495,0.0017431061580225748,0.9808126608612304,True
177,199426,187,0.5649546827794562,0.0001735186880566622,0.0009734569881500662,0.013886640404367457,0.9809861795492871,True
178,203988,254,0.7673716012084593,0.00017035235449204872,0.0003123772092336806,0.002776715494737542,0.9811565319037792,True
179,192431,231,0.6978851963746223,0.00016615064736552658,0.00025861866253291493,0.001657849184484482,0.9813226825511447,True
180,102973,138,0.4169184290030212,0.0001642302972569853,0.0008348129737885818,0.009057803575059616,0.9814869128484017,True
181,48953,122,0.3685800604229607,0.0001640450960718323,0.000858359755741292,0.011373496236193513,0.9816509579444735,True
182,105187,155,0.46827794561933533,0.00016249863276036878,0.0003509882962304262,0.0034896663758611354,0.981813456577234,True
183,254595,224,0.676737160120846,0.00016204136788832205,0.0009144996576869004,0.011823002694949144,0.9819754979451223,True
184,257397,63,0.1903323262839879,0.0001570806824540118,0.0016443494252495713,0.023730317143490796,0.9821325786275763,True
185,224005,135,0.4078549848942598,0.00015512670076434705,0.000402133699931022,0.0033242490491449794,0.9822877053283406,True
