metric,direction,method_A,method_B,comparison,n_paired_samples,mean_method_A,mean_method_B,mean_oriented_improvement_B_over_A,mean_improvement_ci_low,mean_improvement_ci_high,median_oriented_improvement_B_over_A,median_improvement_ci_low,median_improvement_ci_high,relative_improvement_percent_B_over_A,rank_biserial_effect_B_over_A,wilcoxon_statistic,p_raw,p_holm_within_metric,p_holm_formatted,significance
RAD_tail_MAE_log10,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,1.2776889897972699,0.9977086348210593,0.27998035497621054,0.08999860367389288,0.4745284741776433,0.26120196260147666,0.020948252434217995,0.45849978941347025,21.913028695710594,0.3599695585996956,841.0,0.007946582993533157,0.015893165987066315,0.016,*
RAD_tail_MAE_log10,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,1.2776889897972699,1.031880004525094,0.24580898527217598,0.04878169154569194,0.4440861673726297,0.23565870003625378,-0.042468190447955856,0.4375930414714214,19.238561749771222,0.3143074581430746,901.0,0.020469470468367057,0.020469470468367057,0.020,*
RAD_tail_MAE_log10,lower,Training-mean RA,Random Forest,Random Forest vs Training-mean RA,72,2.8928093825017145,0.9977086348210593,1.895100747680655,1.7036754305398922,2.097201087496745,1.7649547239946437,1.5369649324636832,2.0543575000964927,65.51073704143491,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
RAD_tail_MAE_log10,lower,Training-mean RA,XGBoost,XGBoost vs Training-mean RA,72,2.8928093825017145,1.031880004525094,1.8609293779766207,1.6642782222603623,2.061708205417782,1.718213867959464,1.4936503277118747,1.995396340535115,64.3294850062772,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
RAD_tail_MAE_log10,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.9977086348210593,1.031880004525094,-0.03417136970403452,-0.0388062789533255,-0.029711930467425058,-0.03204649221269262,-0.03772420919000263,-0.024981641605577087,-3.4249848614534004,-1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Top1_cumulative_error,lower,Raw shallow RA,Training-mean RA,Training-mean RA vs Raw shallow RA,72,0.007337563462439373,0.10770617848653917,-0.10036861502409981,-0.12273067487089255,-0.07917469584925899,-0.0696766307544664,-0.09338581965077036,-0.050266013595252845,-1367.8738935326667,-0.989345509893455,14.0,2.9821236421702677e-13,1.7892741853021606e-12,<0.001,***
Top1_cumulative_error,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.007337563462439373,0.008817523330136556,-0.0014799598676971833,-0.002049576599260288,-0.0009202388962994447,-0.0013815309999275,-0.0020146514229198997,-0.0006637537311496994,-20.169636355079238,-0.6073059360730594,516.0,7.529924961583828e-06,7.529924961583828e-06,<0.001,***
Top1_cumulative_error,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.007337563462439373,0.03553890416934174,-0.028201340706902365,-0.03679913649859813,-0.02063731973764842,-0.01391273156997795,-0.025006840439519548,-0.009465588388157,-384.3420346721857,-0.923896499238965,100.0,9.58531218811501e-12,3.834124875246004e-11,<0.001,***
Top1_cumulative_error,lower,Training-mean RA,Random Forest,Random Forest vs Training-mean RA,72,0.10770617848653917,0.008817523330136556,0.0988886551564026,0.07834550308151986,0.12061315636823541,0.06951411675226954,0.04959678365389404,0.09072004457986381,91.8133542067519,0.989345509893455,14.0,2.9821236421702677e-13,1.7892741853021606e-12,<0.001,***
Top1_cumulative_error,lower,Training-mean RA,XGBoost,XGBoost vs Training-mean RA,72,0.10770617848653917,0.03553890416934174,0.07216727431719744,0.056359075364660186,0.08827462894079972,0.0570142102648271,0.036236352388307226,0.07119894887439765,67.00383889882112,0.8964992389649924,136.0,3.828302957647132e-11,1.1484908872941395e-10,<0.001,***
