metric,direction,method_A,method_B,comparison,n_paired_samples,mean_method_A,mean_method_B,mean_oriented_improvement_B_over_A,mean_improvement_ci_low,mean_improvement_ci_high,median_oriented_improvement_B_over_A,median_improvement_ci_low,median_improvement_ci_high,relative_improvement_percent_B_over_A,rank_biserial_effect_B_over_A,wilcoxon_statistic,p_raw,p_holm_within_metric,p_holm_formatted,significance
composition_Spearman,higher,Training-mean RA,XGBoost,XGBoost vs Training-mean RA,72,0.5854992486605802,0.8509333783115162,0.26543412965093593,0.25395233926539107,0.2769783842089202,0.2680164766019336,0.2503996757403396,0.27820349180350384,45.33466614315175,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
composition_Spearman,higher,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.8452153579079736,0.8509333783115162,0.0057180204035425924,0.004581084489305558,0.0069332193632319974,0.005019224624590979,0.004177087595605408,0.006159705775996005,0.6765163872193974,0.9048706240487062,125.0,2.5181901626346846e-11,7.554570487904053e-11,<0.001,***
Bray_Curtis,lower,Raw shallow RA,Training-mean RA,Training-mean RA vs Raw shallow RA,72,0.058763884513859534,0.39857045024500526,-0.3398065657311457,-0.3587399566578738,-0.3222129235661804,-0.33858616928049634,-0.351559453618837,-0.31310821218345103,-578.257493598814,-1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Bray_Curtis,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.058763884513859534,0.05519076170985746,0.003573122804002072,0.0026430498243871655,0.00448706135136394,0.003402894327031801,0.0022833785790422508,0.0047491484668425,6.080474144215817,0.7990867579908676,264.0,3.8090727902463805e-09,7.618145580492761e-09,<0.001,***
Bray_Curtis,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.058763884513859534,0.07623659700268652,-0.017472712488826973,-0.025080051245389978,-0.010631732988937517,-0.005382736515633299,-0.01273937074624265,-0.0020255087832204456,-29.73376017153193,-0.6202435312024354,499.0,4.795745397927716e-06,4.795745397927716e-06,<0.001,***
Bray_Curtis,lower,Training-mean RA,Random Forest,Random Forest vs Training-mean RA,72,0.39857045024500526,0.05519076170985746,0.3433796885351478,0.32567081364199385,0.3618715427518281,0.3405381807482593,0.31434359501936765,0.35048764869644056,86.15282149594101,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Bray_Curtis,lower,Training-mean RA,XGBoost,XGBoost vs Training-mean RA,72,0.39857045024500526,0.07623659700268652,0.3223338532423187,0.3070668848378725,0.3387057921507027,0.3206392891136709,0.2934807129095122,0.33367932453393406,80.8724914363764,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Bray_Curtis,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.05519076170985746,0.07623659700268652,-0.02104583529282905,-0.02832844742715911,-0.014656130231308923,-0.0101038727147553,-0.014620217186957194,-0.006402160562521648,-38.132895145511505,-0.9208523592085236,104.0,1.1201770266131891e-11,3.360531079839567e-11,<0.001,***
Jensen_Shannon_distance,lower,Raw shallow RA,Training-mean RA,Training-mean RA vs Raw shallow RA,72,0.11391534119557233,0.45208672525311955,-0.33817138405754715,-0.35525278585770326,-0.321004592844187,-0.32978221712148087,-0.35061243653242313,-0.3067888544009329,-296.86202096078284,-1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Jensen_Shannon_distance,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.11391534119557233,0.09751675954652343,0.016398581649048897,0.014052450177775445,0.018669103995305088,0.016460157179497496,0.013613246331608556,0.0190357208973772,14.39541108066863,0.9528158295281582,62.0,2.1278181511160794e-12,4.255636302232159e-12,<0.001,***
Jensen_Shannon_distance,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.11391534119557233,0.10892847737443506,0.004986863821137245,3.352503324906071e-05,0.00945974130304966,0.010708873125355949,0.006242226105797402,0.012650531411150362,4.377692915457022,0.441400304414003,734.0,0.0011347934789503059,0.0011347934789503059,0.001,**
Jensen_Shannon_distance,lower,Training-mean RA,Random Forest,Random Forest vs Training-mean RA,72,0.45208672525311955,0.09751675954652343,0.354569965706596,0.338354612765674,0.3705577532445436,0.3427054006793751,0.32698760171796837,0.36230825880571405,78.42963438222509,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Jensen_Shannon_distance,lower,Training-mean RA,XGBoost,XGBoost vs Training-mean RA,72,0.45208672525311955,0.10892847737443506,0.3431582478786843,0.32872330855850634,0.3584884652967069,0.3349064563893912,0.31955980251039195,0.3513260702669915,75.90540237308518,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Jensen_Shannon_distance,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.09751675954652343,0.10892847737443506,-0.01141171782791165,-0.015509152321365736,-0.007791929000469804,-0.004733398020201743,-0.0068158854464513,-0.003564563231803604,-11.702314433927956,-0.9665144596651446,44.0,1.0269135578737924e-12,3.0807406736213775e-12,<0.001,***
RAD_RMSE_log10_RA_specific,lower,Raw shallow RA,Training-mean RA,Training-mean RA vs Raw shallow RA,72,2.1907365825813034,2.3629004872125625,-0.17216390463125894,-0.3607476873166852,-0.005494836641832461,-0.0039489190622243875,-0.22026442409465408,0.13180008180952552,-7.858722312857972,-0.1293759512937595,1144.0,0.34008977114796035,0.34008977114796035,0.340,ns
RAD_RMSE_log10_RA_specific,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,2.1907365825813034,0.9089681888764906,1.2817683937048132,1.1740382892661863,1.3795633574934758,1.3513217758190414,1.320470904462446,1.429607038339463,58.50855844085688,0.9939117199391172,8.0,2.320984633931188e-13,9.952510814258381e-13,<0.001,***
