split,metric,direction,baseline_method,model,raw_shallow_value,model_value,relative_improvement_percent
test,MAE_RA,lower,Raw shallow RA,Random Forest,0.0001445963964806,0.0001238909618581,14.31946793036295
test,RMSE_RA,lower,Raw shallow RA,Random Forest,0.0002501228619379,0.0002204440654687,11.865687222373374
test,MAE_log10_RA,lower,Raw shallow RA,Random Forest,3.849946946810725,1.3913313414837687,63.861025600980305
test,RMSE_log10_RA,lower,Raw shallow RA,Random Forest,3.886226009705082,1.6635663582594165,57.193267861802475
test,MAE_RA,lower,Raw shallow RA,XGBoost,0.0001445963964806,0.0001268444987811,12.276860372437907
test,RMSE_RA,lower,Raw shallow RA,XGBoost,0.0002501228619379,0.0002263451181608,9.506425599353443
test,MAE_log10_RA,lower,Raw shallow RA,XGBoost,3.849946946810725,1.3783796050001225,64.19743897660811
test,RMSE_log10_RA,lower,Raw shallow RA,XGBoost,3.886226009705082,1.6251779163591504,58.181075616791475
