split,method,sample_id,subsample_repeat,shallow_depth,number_of_components,composition_MAE_RA,composition_RMSE_RA,composition_Spearman,Bray_Curtis,Jensen_Shannon_distance,RAD_MAE_RA_specific,RAD_RMSE_RA_specific,RAD_MAE_log10_RA_specific,RAD_RMSE_log10_RA_specific,RAD_Spearman_specific,RAD_head_MAE_log10,RAD_middle_MAE_log10,RAD_tail_MAE_log10,Top1_cumulative_error,Top5_cumulative_error,Top10_cumulative_error,true_Shannon_specific,predicted_Shannon_specific,Shannon_absolute_error,true_Simpson_specific,predicted_Simpson_specific,Simpson_absolute_error,true_richness_1read_specific,predicted_richness_1read_specific,richness_1read_absolute_error
train,Raw shallow RA,SRS2822206,1,2000,255,0.0005715836479112388,0.0012403503717088081,0.8529351136650091,0.07287691510868295,0.13489597552641816,0.00029646166582638126,0.0008763432123809588,1.5245940129450741,2.4021027432594675,0.9327310668364697,0.022617274492485143,0.11639194289970392,2.9423950647959076,0.0005067408456161243,0.0064822565575067825,0.003218460334409645,3.748672011463369,3.7197695948795326,0.0289024165838363,0.956784888317695,0.9560649793783061,0.0007199089393888913,99,126,27
train,Raw shallow RA,SRS2822206,2,2000,255,0.0005651765780410372,0.0011196462108266885,0.8473993651228601,0.07206001370023224,0.13495568959084056,0.0002510407369676037,0.000606907188424163,1.6358952094423143,2.513533952880183,0.9211103256809163,0.019111055350372504,0.36477865131326953,2.9423950647959076,0.002772276036326654,0.006486131475164747,0.0013262088780863213,3.748672011463369,3.680708544954119,0.06796346650925011,0.956784888317695,0.9553541704243861,0.0014307178933089526,99,119,20
train,Raw shallow RA,SRS2822206,3,2000,255,0.0005310278155336786,0.001078331086177448,0.8734753189884941,0.06770604648054401,0.1262397530086879,0.000337425507178629,0.0008221257630697725,1.6103463823363884,2.481961771274208,0.9250128134857214,0.026231878361726982,0.3070420479443853,2.9423950647959076,0.0008121358136744389,0.008270095652683218,0.019578360676352657,3.748672011463369,3.7539039903790594,0.005231978915690494,0.956784888317695,0.9581503719887416,0.0013654836710466078,99,121,22
train,Raw shallow RA,SRS2822206,4,2000,255,0.0006820257342908427,0.001557218356161168,0.8278397502583958,0.08695828112208244,0.14709903551806217,0.00030225339453859894,0.0010091955444307078,1.6867929886940207,2.5614298263428976,0.9156680411385194,0.01907873963916218,0.4781861603850168,2.9423950647959076,0.0009757072513880277,0.0016112790497982976,0.0005564615582047683,3.748672011463369,3.682074138300951,0.06659787316241772,0.956784888317695,0.9560016663996155,0.0007832219180795574,99,116,17
train,Raw shallow RA,SRS2822206,5,2000,255,0.0005987004762976481,0.001213072619082257,0.8541998300147146,0.07633431072795013,0.13330775598380573,0.00028393883518197,0.0005851198885180088,1.57309910755119,2.449940544793709,0.9279880876835833,0.018508566809731616,0.2249332343894341,2.9423950647959076,0.0006508462147382515,0.007570186229196807,0.0016103534670552921,3.748672011463369,3.7305017987861047,0.018170212677264264,0.956784888317695,0.9574425570336053,0.0006576687159102201,99,123,24
train,Raw shallow RA,SRS2822170,1,2000,255,0.0005466825533899572,0.0013996511697430495,0.8058394163525413,0.06970202555721954,0.12932517847542874,0.0003080538082787234,0.0011440622003440959,1.4509250221144137,2.3601764287185127,0.8799112149830562,0.027741410750237387,1.1822912091437339,1.8377410979127746,0.012423433248880122,0.009003085422590873,0.01075320238619637,3.221600507010375,3.201732079767503,0.019868427242871967,0.9288370939768202,0.9312083028206358,0.0023712088438155865,76,97,21
train,Raw shallow RA,SRS2822170,2,2000,255,0.0004977713362101761,0.0013848536455992673,0.7923935549766803,0.06346584536679745,0.12913307074311325,0.00034210991770036573,0.001320734134158799,1.4517762634427993,2.360159743432632,0.8797093687707805,0.03211190124925727,1.183689445292178,1.8377410979127746,0.015680908945591265,0.029105612154943394,0.008310981209820878,3.221600507010375,3.2294908812555447,0.007890374245169696,0.9288370939768202,0.9336807805697283,0.004843686592908014,76,97,21
train,Raw shallow RA,SRS2822170,3,2000,255,0.0005214314512110199,0.0013950612135526213,0.8052558663668293,0.06648251002940503,0.12990875795256657,0.00035013415959503065,0.0012237041244972573,1.5015330667553755,2.4105833200238185,0.8718992571529226,0.03699835092634585,1.293993868060531,1.8377410979127746,0.0022296069746518543,0.02005027307109486,0.0015330781108564562,3.221600507010375,3.178972849791497,0.04262765721887796,0.9288370939768202,0.9312813500722646,0.002444256095444408,76,94,18
train,Raw shallow RA,SRS2822170,4,2000,255,0.0005645187225205449,0.001750035775733943,0.8207208419976724,0.07197613712136947,0.12592495050162505,0.00040831547158941565,0.0016329623542669803,1.4544411914627475,2.3602324470812244,0.8794711105475066,0.031718816587978184,1.1896719173769457,1.8377410979127746,0.020590782089859205,0.031122756357912507,0.02775150032751572,3.221600507010375,3.2535516373313738,0.03195113032099872,0.9288370939768202,0.9353609114854319,0.00652381750861164,76,97,21
train,Raw shallow RA,SRS2822170,5,2000,255,0.0005374702686575226,0.0015149917517737934,0.7907944774680018,0.06852745925383413,0.12953940067409692,0.0003387774046346524,0.0013759292851785036,1.5213860972905822,2.4273825724690674,0.8692059173940152,0.02885766771397979,1.3391561368123137,1.8377410979127746,0.015876091209371362,0.01628358040630773,0.015422602680781217,3.221600507010375,3.2091968349878366,0.012403672022538448,0.9288370939768202,0.9319007179001856,0.003063623923365344,76,93,17
train,Raw shallow RA,SRS2821839,1,2000,255,0.000496934955979323,0.0014338988731672894,0.7793118604798651,0.06335920688736368,0.1168374251961405,0.00032264774085677297,0.001190946266803524,1.5964893663692108,2.42533443483508,0.8455012057703951,0.02354067916697594,1.589932860149472,1.7633852296973942,0.013078171559905594,0.009034529686814341,0.0006994746487978265,3.194593139823355,3.185944602946489,0.008648536876866064,0.9169216673448065,0.920205081114172,0.003283413769365473,68,85,17
