split,method,metric,n,mean,std,median,q25,q75
train,Raw shallow RA,composition_MAE_RA,1655,0.00046277597708014104,8.640682824889589e-05,0.00046259176938592963,0.000398310255997671,0.0005245047671274883
train,Raw shallow RA,composition_RMSE_RA,1655,0.0013049563448443411,0.0002549901350100102,0.0012842084620905375,0.0011196791626413558,0.0014684366962770964
train,Raw shallow RA,composition_Spearman,1655,0.801241177789748,0.05044072011826103,0.8025017783146876,0.7618318624893357,0.8351981969564495
train,Raw shallow RA,Bray_Curtis,1655,0.05900393707771799,0.011016870601734226,0.05898045059670603,0.05078455763970305,0.06687435780875477
train,Raw shallow RA,Jensen_Shannon_distance,1655,0.1138359183383574,0.014868452914187653,0.1153921367850292,0.10245962970814255,0.12516887537330867
train,Raw shallow RA,RAD_MAE_RA_specific,1655,0.00029039187481983797,5.204923337678348e-05,0.0002878107465370849,0.0002537628817538281,0.00032608212496959386
train,Raw shallow RA,RAD_RMSE_RA_specific,1655,0.0010517884074498715,0.0002782766237338099,0.0010151003741086884,0.0008442056678033132,0.0012218204119627566
train,Raw shallow RA,RAD_MAE_log10_RA_specific,1655,1.2620236781240355,0.323635131727311,1.3202553177748837,1.0945199023732537,1.4896301492244026
train,Raw shallow RA,RAD_RMSE_log10_RA_specific,1655,2.1526827776345163,0.3161037726710874,2.214979552098235,2.0170386090158026,2.374026606099239
train,Raw shallow RA,RAD_Spearman_specific,1655,0.8504872452501266,0.054753186440257964,0.8635151552090862,0.8058055800778481,0.8953840785579303
train,Raw shallow RA,RAD_head_MAE_log10,1655,0.029437622562015278,0.007508282001245267,0.02866982961781228,0.0240823153594253,0.03414301098667834
train,Raw shallow RA,RAD_middle_MAE_log10,1655,1.498137592811618,0.5874462025250633,1.4699523900633382,1.0669571882706541,2.0257632931545384
train,Raw shallow RA,RAD_tail_MAE_log10,1655,1.1762491304698766,0.8240385121277796,1.1604690472690153,0.43837044154937,1.8517152741176215
train,Raw shallow RA,Top1_cumulative_error,1655,0.006937637924265189,0.005361793115693666,0.005834627325393957,0.0026627274163842363,0.009983411262832434
train,Raw shallow RA,Top5_cumulative_error,1655,0.008603126959062806,0.006542485164972614,0.007320748947832079,0.003527572134511492,0.012273281516739093
train,Raw shallow RA,Top10_cumulative_error,1655,0.00756702076237333,0.0057497703376167926,0.0062621009369463465,0.003005796259250293,0.010896400659509586
train,Raw shallow RA,Shannon_absolute_error,1655,0.038785451070328616,0.02697031448444508,0.034857958708874204,0.016538897717343737,0.05616552545758724
train,Raw shallow RA,Simpson_absolute_error,1655,0.002809693160966381,0.0028122767459276316,0.0020224567534914417,0.0008533030560963217,0.0037523029611885583
train,Raw shallow RA,richness_1read_absolute_error,1655,16.247129909365558,7.109011425681156,16.0,11.0,21.0
train,Training-mean RA,composition_MAE_RA,1655,0.0031150951289066284,0.0005666818137132769,0.0030079465312799294,0.002735744031626585,0.003456371597485247
train,Training-mean RA,composition_RMSE_RA,1655,0.012624461099633125,0.004464129835623004,0.01162891868383798,0.009987302152597211,0.013680046420992204
train,Training-mean RA,composition_Spearman,1655,0.5775570515004446,0.05387339495682791,0.5808397516998837,0.5449134998558491,0.6183894867987121
train,Training-mean RA,Bray_Curtis,1655,0.39717462893559513,0.0722519312484428,0.383513182738191,0.3488073640323896,0.44068737867936897
train,Training-mean RA,Jensen_Shannon_distance,1655,0.44802698340075786,0.06577208079457465,0.43927879980789186,0.4015575432140116,0.4847811547699134
train,Training-mean RA,RAD_MAE_RA_specific,1655,0.0014583093186198023,0.0005744842968842925,0.0013913127543465637,0.0009645986165515036,0.0018503384636472297
train,Training-mean RA,RAD_RMSE_RA_specific,1655,0.0074485759186023875,0.0049011356006274966,0.006006324940738767,0.00394066484761197,0.009087539633094272
train,Training-mean RA,RAD_MAE_log10_RA_specific,1655,1.717549243363399,0.5616054143986391,1.6926272844038461,1.2586019774454964,2.137917242263485
train,Training-mean RA,RAD_RMSE_log10_RA_specific,1655,2.4089511165796704,0.4823962134481631,2.397148244411016,2.0387390062491386,2.7762952979132227
train,Training-mean RA,RAD_Spearman_specific,1655,0.9704120807889196,0.031795279538145066,0.9813480197901477,0.9591689386361145,0.9925544870023546
train,Training-mean RA,RAD_head_MAE_log10,1655,0.1255204591395391,0.05147194299940372,0.11570157771721525,0.08968362928546542,0.1505944362351802
train,Training-mean RA,RAD_middle_MAE_log10,1655,0.47829012573968205,0.40381413214538936,0.33330395117886286,0.17873008277487612,0.6753615267001688
train,Training-mean RA,RAD_tail_MAE_log10,1655,2.992918641820202,0.8267595369644889,3.0100293250299694,2.318783098181363,3.7321279307496145
train,Training-mean RA,Top1_cumulative_error,1655,0.09179278779809633,0.08884465022832665,0.06355685272310185,0.02164143172617805,0.12946148354043177
train,Training-mean RA,Top5_cumulative_error,1655,0.15572090576531808,0.07556722036748402,0.15866444564318355,0.10052186668691837,0.21487857226351753
train,Training-mean RA,Top10_cumulative_error,1655,0.14609050985118643,0.0690809051390711,0.14840944337414375,0.09053273503984083,0.20550994449935645
train,Training-mean RA,Shannon_absolute_error,1655,0.6021347314525087,0.31848185071617746,0.595282385439619,0.31615120173558076,0.8750826356391359
train,Training-mean RA,Simpson_absolute_error,1655,0.04667730283313844,0.04447579548189723,0.0343332213091625,0.01640135675928034,0.058336406776860694
train,Training-mean RA,richness_1read_absolute_error,1655,29.800604229607252,15.721545367805842,29.0,17.0,44.0
valid,Raw shallow RA,composition_MAE_RA,355,0.00046629325845619693,8.962955729564605e-05,0.00047091844368657036,0.0003991999602626246,0.0005300736107689227
valid,Raw shallow RA,composition_RMSE_RA,355,0.0013120650191687437,0.0002665515677652819,0.0012997114295759298,0.0011124195336835645,0.0014679956242415243
valid,Raw shallow RA,composition_Spearman,355,0.8003403667829103,0.04566538053905198,0.8041570693731388,0.7613232845612388,0.8292409078875242
valid,Raw shallow RA,Bray_Curtis,355,0.05945239045316511,0.01142776855519487,0.06004210157003772,0.05089799493348464,0.06758438537303764
valid,Raw shallow RA,Jensen_Shannon_distance,355,0.11484584432668038,0.014542644738003655,0.11664005416376835,0.10468360337170662,0.12565679729360157
valid,Raw shallow RA,RAD_MAE_RA_specific,355,0.0002915014923798159,5.364713960126023e-05,0.0002915669031675637,0.0002569914740490467,0.00032608456892534935
valid,Raw shallow RA,RAD_RMSE_RA_specific,355,0.0010551571195979133,0.0002982534303078672,0.0010224942990733508,0.0008442178702057197,0.0012358369975143998
valid,Raw shallow RA,RAD_MAE_log10_RA_specific,355,1.2961125286594994,0.2857630754344129,1.3240234886649669,1.1203151431379568,1.4865230238257103
valid,Raw shallow RA,RAD_RMSE_log10_RA_specific,355,2.1927219863954286,0.2612378162090666,2.234087814159053,2.0463200916017197,2.3639101251632684
valid,Raw shallow RA,RAD_Spearman_specific,355,0.8513612418153025,0.053619498934212084,0.8650337639038012,0.8029219283247737,0.893358759691518
valid,Raw shallow RA,RAD_head_MAE_log10,355,0.029201792291047114,0.00761618627115877,0.028770087213608707,0.023802701812925917,0.034189146284652715
valid,Raw shallow RA,RAD_middle_MAE_log10,355,1.476466748639434,0.586911785894627,1.4429534730759592,1.0420033909161068,2.0049916108868637
valid,Raw shallow RA,RAD_tail_MAE_log10,355,1.263903540431762,0.8374531463996182,1.241129088165822,0.6366421036237027,1.9018118614333843
valid,Raw shallow RA,Top1_cumulative_error,355,0.006913627007612305,0.0057206969174226985,0.00556583138153241,0.0022926855414331787,0.009859855124376357
valid,Raw shallow RA,Top5_cumulative_error,355,0.008672429878741622,0.006288219965778269,0.007140982572151788,0.003943753314335385,0.012716977966323817
valid,Raw shallow RA,Top10_cumulative_error,355,0.007484717266038855,0.005689010914843026,0.006546331643989434,0.0030916066724908098,0.010628778390046056
valid,Raw shallow RA,Shannon_absolute_error,355,0.040065304361553374,0.026473260220225423,0.03580403606499161,0.01822769200398011,0.05699589771621372
valid,Raw shallow RA,Simpson_absolute_error,355,0.002865693932734425,0.003045220347691658,0.0019530249126705757,0.0008170805288347793,0.0039867246813249935
valid,Raw shallow RA,richness_1read_absolute_error,355,17.123943661971833,6.975855551456264,17.0,12.0,21.5
valid,Training-mean RA,composition_MAE_RA,355,0.003116094413820937,0.000708003973957391,0.0029755931994272355,0.0027216736154200994,0.0033925986471866404
valid,Training-mean RA,composition_RMSE_RA,355,0.012808986708248702,0.0045728155709987535,0.011800974667757971,0.010174062743488163,0.014378149943077722
valid,Training-mean RA,composition_Spearman,355,0.5768350229477323,0.05960446581362592,0.5853436317160781,0.5572035135950202,0.6094038148175374
valid,Training-mean RA,Bray_Curtis,355,0.39730203776216944,0.09027050667956736,0.37938813292697254,0.3470133859660627,0.43255632751629663
valid,Training-mean RA,Jensen_Shannon_distance,355,0.4479709385981862,0.07912841095239707,0.4343553071095207,0.405731934709435,0.477773862244591
valid,Training-mean RA,RAD_MAE_RA_specific,355,0.001463210264575296,0.000615581590846587,0.0013378744272055227,0.0009371031021032426,0.0018397331005734227
valid,Training-mean RA,RAD_RMSE_RA_specific,355,0.007512719843838764,0.00514425626602531,0.005995467745138034,0.004076896977437005,0.010140879261208456
valid,Training-mean RA,RAD_MAE_log10_RA_specific,355,1.6560522866913931,0.5594113990136198,1.6141384475799128,1.1708631369835591,2.0692423344150743
valid,Training-mean RA,RAD_RMSE_log10_RA_specific,355,2.3519079817787323,0.4850767035648335,2.3491184291351273,2.036193657527333,2.6755600414988256
valid,Training-mean RA,RAD_Spearman_specific,355,0.9738378403328567,0.026874824475495718,0.982942690741776,0.965002999303518,0.9924602299180714
valid,Training-mean RA,RAD_head_MAE_log10,355,0.12672964263682449,0.05816230061896708,0.11280429393483199,0.08754034468421874,0.1497262994229397
valid,Training-mean RA,RAD_middle_MAE_log10,355,0.44175415930913486,0.36308336306614525,0.30007516880977186,0.19355056318613495,0.6392798401089614
valid,Training-mean RA,RAD_tail_MAE_log10,355,2.9025970181424716,0.8444195721539526,2.929369284133162,2.2686865108656002,3.533856268675282
valid,Training-mean RA,Top1_cumulative_error,355,0.09439160438708835,0.09195988821103136,0.07093712793010781,0.02363732293425047,0.1500923774372567
valid,Training-mean RA,Top5_cumulative_error,355,0.15869487561520892,0.08276699598632065,0.15734811775369556,0.08812859507315352,0.22342828872731063
valid,Training-mean RA,Top10_cumulative_error,355,0.144287158612288,0.07248168442327368,0.1442285638406704,0.07166414459139336,0.20466639112474916
valid,Training-mean RA,Shannon_absolute_error,355,0.6053605848653314,0.3379950900476647,0.5991982880140769,0.2936713821377741,0.9085027565545465
valid,Training-mean RA,Simpson_absolute_error,355,0.04801838663108538,0.05084191631077383,0.036022486460128844,0.01721054913485809,0.06254563552019221
valid,Training-mean RA,richness_1read_absolute_error,355,29.549295774647888,15.340567624419538,26.0,19.0,43.0
test,Raw shallow RA,composition_MAE_RA,360,0.00045788258539511655,8.957621648348442e-05,0.0004574956968560818,0.0003901833810472694,0.0005218230591378222
test,Raw shallow RA,composition_RMSE_RA,360,0.0012794066701055076,0.0002589701204315363,0.001255063002943764,0.0011029287774400025,0.0014364842711951345
test,Raw shallow RA,composition_Spearman,360,0.797714722797921,0.0476126015369738,0.800642670063393,0.7650752239738278,0.8288456613110743
test,Raw shallow RA,Bray_Curtis,360,0.058380029637877355,0.011420967601644265,0.05833070134915042,0.04974838108352685,0.06653244004007233
test,Raw shallow RA,Jensen_Shannon_distance,360,0.1138568240136256,0.015093325123128297,0.11540836716034866,0.10388684984173868,0.12546032657425585
test,Raw shallow RA,RAD_MAE_RA_specific,360,0.0002884740941928493,5.168373332037866e-05,0.00028767287423755517,0.00025102290705765197,0.00032242682287847
test,Raw shallow RA,RAD_RMSE_RA_specific,360,0.001026389177873189,0.00026483701858380103,0.001002279403752719,0.0008438021866161161,0.0011881083395569282
test,Raw shallow RA,RAD_MAE_log10_RA_specific,360,1.31210743110283,0.3244930228717541,1.3795233324524463,1.209901947355929,1.5263546771243697
test,Raw shallow RA,RAD_RMSE_log10_RA_specific,360,2.195464382191908,0.3112714592707821,2.277620497108309,2.1337687387336546,2.3877992608823035
test,Raw shallow RA,RAD_Spearman_specific,360,0.848106061078771,0.05260218521427535,0.8573701429781353,0.8071998373707283,0.8935559453768066
test,Raw shallow RA,RAD_head_MAE_log10,360,0.02958790275073049,0.007058050511731586,0.028928965149382722,0.024523402265256726,0.034084034330492285
test,Raw shallow RA,RAD_middle_MAE_log10,360,1.4967030092991758,0.5626356561366017,1.4726008255790448,1.0381586132687088,1.9776669341109372
test,Raw shallow RA,RAD_tail_MAE_log10,360,1.27768898979727,0.8172286122352486,1.3327628688249078,0.6051606574186819,1.9409331692314353
test,Raw shallow RA,Top1_cumulative_error,360,0.00659243041860428,0.005161100766323855,0.005407930551809818,0.00261413134673974,0.009488262821334754
test,Raw shallow RA,Top5_cumulative_error,360,0.008435245651463459,0.006624135635351544,0.007190587060921405,0.002951393049844986,0.01254331433798006
test,Raw shallow RA,Top10_cumulative_error,360,0.007759439246691353,0.005829283267772406,0.006863814790332212,0.003412786837659526,0.01083155912973957
test,Raw shallow RA,Shannon_absolute_error,360,0.038429100549136605,0.027349491278259988,0.03411906072936044,0.01595748091181881,0.05680498382615329
test,Raw shallow RA,Simpson_absolute_error,360,0.002875742840970324,0.0027633963524245635,0.0021655460061162923,0.0009185884275415834,0.0040570713582438744
test,Raw shallow RA,richness_1read_absolute_error,360,16.488888888888887,7.086012656188563,17.0,12.0,21.0
test,Training-mean RA,composition_MAE_RA,360,0.003126042747019649,0.0005865095036835186,0.003093488691959672,0.002705825130969127,0.003485071511753182
test,Training-mean RA,composition_RMSE_RA,360,0.013260361657107674,0.0047322800292401695,0.011972849899452681,0.010161236299631452,0.014620751404919785
test,Training-mean RA,composition_Spearman,360,0.5854992486605803,0.06007557447656486,0.5861618683916767,0.5581597451093464,0.6275087137141178
test,Training-mean RA,Bray_Curtis,360,0.39857045024500526,0.07477996171964862,0.39441980822485817,0.34499270419856365,0.44434661774853074
test,Training-mean RA,Jensen_Shannon_distance,360,0.45208672525311944,0.06798012376249758,0.4437101490832729,0.40609896403913176,0.49055840857450655
test,Training-mean RA,RAD_MAE_RA_specific,360,0.0015242207112979153,0.000638488350265136,0.0013808893930441586,0.0009633227731308154,0.0019232462497885882
test,Training-mean RA,RAD_RMSE_RA_specific,360,0.008227701187908497,0.005365579243654977,0.006486628669973032,0.004137215321740373,0.010668977887559317
test,Training-mean RA,RAD_MAE_log10_RA_specific,360,1.6760699439219224,0.5748524454213169,1.593326411227089,1.1912096515378534,2.1031929677355516
test,Training-mean RA,RAD_RMSE_log10_RA_specific,360,2.3629004872125625,0.4940944766743349,2.3022467042870898,2.003418063267081,2.702143840956225
test,Training-mean RA,RAD_Spearman_specific,360,0.9718897338406898,0.034111261350667915,0.9847360483356846,0.9665444209524214,0.9930841707373439
test,Training-mean RA,RAD_head_MAE_log10,360,0.13133590633938694,0.058920448972319815,0.1157450585348973,0.08804697595240603,0.16352768295419434
test,Training-mean RA,RAD_middle_MAE_log10,360,0.4967333982108641,0.4337181682644576,0.386998611254681,0.16176329555031727,0.677033970004751
test,Training-mean RA,RAD_tail_MAE_log10,360,2.892809382501715,0.8172286122352485,2.837735503474077,2.229565203067549,3.565337714880303
test,Training-mean RA,Top1_cumulative_error,360,0.10770617848653924,0.09433107668098711,0.07711722548284324,0.02877143273984112,0.1644612570072564
test,Training-mean RA,Top5_cumulative_error,360,0.1620125510040812,0.08292046191421663,0.15680242741220946,0.08220056805633363,0.22244175853758544
test,Training-mean RA,Top10_cumulative_error,360,0.14467384653614404,0.07429688774396039,0.1612088740419288,0.08282675889262936,0.2074247301586957
test,Training-mean RA,Shannon_absolute_error,360,0.6293028641223138,0.343624820044367,0.5956452047900769,0.30961746888088215,0.8879533787426519
test,Training-mean RA,Simpson_absolute_error,360,0.05288061296295914,0.048573248100344524,0.03869317869630173,0.013559035160528032,0.07130413691258852
test,Training-mean RA,richness_1read_absolute_error,360,30.01388888888889,15.843500864813878,31.0,14.75,42.0
