depth,method,sample_id,composition_RMSE_RA,composition_Spearman,Bray_Curtis,Jensen_Shannon_distance,RAD_MAE_log10_RA_specific,RAD_RMSE_log10_RA_specific,RAD_head_MAE_log10,RAD_middle_MAE_log10,RAD_tail_MAE_log10,Shannon_absolute_error,Simpson_absolute_error,true_richness_1read,predicted_richness_1read,richness_1read_absolute_error,true_richness_fixed,predicted_richness_fixed,richness_fixed_absolute_error
500,Random Forest,SRS2821816,0.003195560252509666,0.6551121985861543,0.11640766670832914,0.17284147179053128,0.7229486301365305,0.8364803310024282,0.054902203963593896,0.5176806077344877,0.9755876702474051,0.230526852438323,0.013535406412683849,39.0,35.0,4.0,117.0,72.6,44.4
500,Random Forest,SRS2821824,0.0024859610965088904,0.8812921862241663,0.0990313906536261,0.145071540875664,0.6917909512790643,0.8513480482060405,0.04143783936660141,0.3273687568468218,1.0854816648234553,0.20408719094467448,0.008378764526558858,43.0,41.4,1.6,162.0,97.8,64.2
500,Random Forest,SRS2821835,0.0026037937435784988,0.8160980201200208,0.0833599460556993,0.12011396597776018,0.6864443147774839,0.8596788462025456,0.04475110206621469,0.5755886009836961,0.8516377253108566,0.11357446337362927,0.007378721282885548,29.0,27.2,1.8,74.0,56.8,17.2
500,Random Forest,SRS2821843,0.002407691163425673,0.8583726053833107,0.10198301615749295,0.1568914781948526,0.7274674461569995,0.8734923391173453,0.04607956676059971,0.43628403510395836,1.058593046882983,0.21540551163685998,0.008268775053757716,46.0,41.4,4.6,142.0,85.0,57.0
500,Random Forest,SRS2821844,0.002784605270476829,0.8077075517195611,0.12740809946070802,0.1852893875141875,1.0832558027104429,1.5504541579594164,0.046778261134187364,0.30735720360093316,1.8858278368756032,0.1744654681022868,0.007202049482249673,52.0,44.6,7.4,118.0,97.6,20.4
500,Random Forest,SRS2821854,0.003067091314629862,0.7733968824128841,0.12632463885199022,0.17903141872687298,1.3240720162616215,1.7637536856942184,0.050410606087709864,0.6215946008783269,2.0850170846549796,0.1782267738227179,0.009938033152401627,54.0,43.4,10.6,111.0,90.4,20.6
500,Random Forest,SRS2821860,0.0025750453715579517,0.7973338091147926,0.0893057217466121,0.14852930275504211,0.8230299654186606,0.9632918967278423,0.05719879365528363,0.5805801094573492,1.119054286777034,0.168884713971252,0.010354586317710735,33.0,32.6,2.4,127.0,70.8,56.2
500,Random Forest,SRS2821870,0.002386947167581623,0.8215752289082362,0.10750314732214679,0.15724491466728424,0.6315650807629215,0.7937972601162725,0.0426574835812004,0.29466642396126935,0.9942599283121396,0.10187536140730344,0.004678226725586598,44.0,44.4,2.8,131.0,88.0,43.0
500,Random Forest,SRS2821871,0.002977018971022017,0.8275998404620042,0.1286429256554318,0.17450731164137992,0.7196862328822196,0.8561641752726843,0.055441737215455276,0.42720063480069026,1.0502258913464897,0.1780158693940498,0.005368471966561872,45.0,43.2,3.0,136.0,83.0,53.0
500,Random Forest,SRS2821875,0.0024991646609252354,0.8580868627988003,0.10492219797669408,0.1578261171266196,0.7922331593522628,0.9617923649983572,0.03799319536199965,0.49010725830976093,1.140638452665008,0.2038436352237219,0.008238841915777284,41.0,37.8,3.2,139.0,80.2,58.8
500,Random Forest,SRS2821881,0.0018103599665720582,0.82071227822678,0.05495690140325606,0.09730289309268542,0.6730184029314252,0.8860093232074941,0.04132940843710794,0.6536477581455564,0.7550673039866627,0.0490274331006737,0.006870111337641016,27.0,24.4,2.6,70.0,53.4,16.6
500,Random Forest,SRS2821890,0.002525896358512938,0.8472279296072859,0.09671420215513027,0.14949802579508206,0.7154298489628922,0.9393396048071295,0.04078775599863318,0.35496382765074025,1.1080556256410081,0.1848138504652793,0.00901571587698662,47.0,40.4,6.6,146.0,95.8,50.2
500,Random Forest,SRS2821892,0.002427326186702331,0.7791218341409906,0.10920656450920832,0.17399036717584102,0.7451460126215594,0.9156880731976358,0.04248490448979787,0.4231142721165221,1.1061398143797259,0.23165168938068934,0.00852805296845407,41.0,39.8,2.4,154.0,99.2,54.8
500,Random Forest,SRS2821893,0.00281237740084747,0.7837277852773941,0.11464818850318954,0.16231073802125248,1.1799116321461702,1.6034012489344178,0.04768183067132244,0.5327997937251869,1.8766812148167618,0.108778898874061,0.005344091772195525,45.0,43.0,2.0,92.0,79.2,13.6
500,Random Forest,SRS2821894,0.003097621924362718,0.7890467100970704,0.10144747559730845,0.13593711148381857,0.7462752186773955,0.9356130036836419,0.052380250220751844,0.4546030808107563,1.07911977227372,0.14897367661016644,0.01148685719865523,35.0,28.2,6.8,79.0,60.0,19.0
500,Random Forest,SRS2821901,0.0026784473415682425,0.7890444305585042,0.10098666113918509,0.16233772385491815,0.7916617611617454,0.9136368731159166,0.04789247279923999,0.5528210849025392,1.0821880433842814,0.1753207934067566,0.009031623711387392,37.0,34.2,2.8,117.0,69.2,47.8
500,Random Forest,SRS2821905,0.0025370564390285485,0.7324770896913766,0.08725239023888265,0.16283132856501298,0.816310935119767,0.9474944964717684,0.04965755087208333,0.6431959642722,1.050181806551598,0.17017150979350476,0.013255509001838228,33.0,27.4,5.6,110.0,63.6,46.4
500,Random Forest,SRS2821908,0.003146200974444663,0.7279911334376159,0.10217187305589723,0.161459596861751,0.8046214003835319,0.9273776711826475,0.06751576774040352,0.6337965411617132,1.0334120080657996,0.14115121210819428,0.010707605011322308,35.0,28.6,6.4,111.0,64.4,46.6
500,Random Forest,SRS2821916,0.0031382312684163317,0.8168123907658906,0.0872550942648695,0.12529865024812037,0.7796630559168315,0.9302368560083906,0.0556981426576159,0.6576144763177081,0.9633251184890351,0.188398858251798,0.02922522885687333,27.0,25.6,2.2,85.0,55.8,29.2
500,Random Forest,SRS2821919,0.0028520601237786883,0.8486097039197894,0.09995963946861364,0.15260950007094248,0.8152399125652673,0.9790659713841949,0.03934555206168318,0.5348537807313696,1.146347359144881,0.23552434690778154,0.013214283189732279,42.0,35.2,6.8,124.0,74.6,49.4
500,Random Forest,SRS2821925,0.0024597419692742547,0.7290017002893949,0.06610345401087395,0.09462056182817283,0.6199613007555737,0.8284504130554364,0.041644507276098294,0.5999854564677234,0.6970901555905982,0.034055676672961346,0.015029727444812702,24.0,23.4,0.6,66.0,54.0,12.0
500,Random Forest,SRS2821928,0.0025383316000132925,0.7952111902437627,0.1038474662175319,0.16652538093643277,0.805498763336519,1.031040564082238,0.04560754703094892,0.4487186831415146,1.2035421881727624,0.18932500454477133,0.005964402368497801,47.0,40.8,6.6,137.0,87.2,49.8
500,Random Forest,SRS2821931,0.00231605423590661,0.8421183898440349,0.09157879386958293,0.15006998556458986,0.8522206788953796,1.0052910300990263,0.05350365330294058,0.5570131486417459,1.198968551191568,0.15339246132874482,0.004375696697745957,32.0,33.8,1.8,140.0,74.6,65.4
500,Random Forest,SRS2821932,0.0025339327729933794,0.8988043143899638,0.10914525869615885,0.15901617749390198,0.75858665733753,0.908640475055131,0.046629775838977094,0.44403460433635045,1.1138179447518266,0.22218406548480124,0.009056632242400053,45.0,42.0,3.0,144.0,87.6,56.4
500,Random Forest,SRS2821946,0.0021700757565309195,0.789758665338,0.06289405812566344,0.09283165499920436,0.7184624723230001,0.988676542462821,0.04275270859682263,0.7924571603672247,0.7212091848536986,0.08356991724689067,0.008089647010035294,22.0,23.8,1.8,64.0,53.0,11.0
500,Random Forest,SRS2821968,0.0027614991973725785,0.6338087706279587,0.10769031461057373,0.16968148290101823,1.4011929610661904,1.807154859748686,0.035667584952316055,1.2805275630288475,1.6492849710326276,0.17671604104167757,0.017990426494563082,44.0,38.0,6.0,70.0,68.8,3.6
500,Random Forest,SRS2821969,0.002472759536210802,0.6515031722757686,0.08738691282706415,0.15945880962007322,0.8696587091951633,1.0255023033320523,0.05581209143451231,0.6689218307363,1.1331548523069654,0.1571078014145984,0.012700778314510996,31.0,28.0,3.0,120.0,66.4,53.6
500,Random Forest,SRS2821970,0.002668423052097279,0.8481230932751179,0.10841447693998037,0.1573396864908127,0.620655343684154,0.7767254612667222,0.043905940858104384,0.3091950175026439,0.959271244640302,0.19333607794238644,0.007703238508524257,50.0,43.6,6.4,158.0,102.8,55.2
500,Random Forest,SRS2821972,0.0026217792547389056,0.8996624245587597,0.10651565837228902,0.14810079275293156,0.6566775071307366,0.7892105964444083,0.04797168340356299,0.39133319312822007,0.9571690622861707,0.20635674598186435,0.00717756413139361,46.0,40.8,5.2,141.0,90.6,50.4
500,Random Forest,SRS2821987,0.002618252411162734,0.7633569397012122,0.09966835713381747,0.15935998900017925,0.7979405420298711,0.9223567647842923,0.055162165933103594,0.6169741509288823,1.036415246555625,0.21017083975388334,0.012447953306096826,33.0,28.6,4.4,115.0,66.0,49.0
500,Random Forest,SRS2821991,0.0020113204869911896,0.8062520588514197,0.08521977999901793,0.14812306887346352,0.8110932836462952,0.966589825388138,0.0625586286830184,0.5539169319046348,1.1185661546153651,0.12234668376748363,0.0035676460179167257,33.0,34.4,3.4,125.0,73.0,52.0
500,Random Forest,SRS2822000,0.002558157974664928,0.8490321508816786,0.1016857773871455,0.1563005968114447,0.7644907305252989,0.9302232488048849,0.04653410364240474,0.4597658791652095,1.1115148974900848,0.2045630931376703,0.0076021145680984946,42.0,39.6,2.8,139.0,87.0,52.0
500,Random Forest,SRS2822019,0.002225712932215373,0.8313574439393884,0.08854525341161774,0.14675138734995155,0.7937058337741917,0.943902510149849,0.046466823256138004,0.5081814777303718,1.1264923198035632,0.16267114215618292,0.0050580219178059105,40.0,37.0,3.0,128.0,72.2,55.8
500,Random Forest,SRS2822023,0.0023697114944481296,0.8366512342649051,0.09072536764533935,0.143783373507885,0.7871317551395801,0.9180550955193187,0.040739749646388025,0.5607305911703964,1.0667603280836624,0.16946162615583935,0.007940176892667617,35.0,28.4,6.6,93.0,60.8,32.2
500,Random Forest,SRS2822025,0.0026147404768321393,0.8452800386476685,0.09018902247558598,0.1458675590603013,0.8061567311983072,0.9298310099727054,0.0344856721051557,0.6754455655510163,1.002477964678639,0.1988484992416301,0.009379651529590527,35.0,29.8,5.2,89.0,58.4,30.6
500,Random Forest,SRS2822026,0.0024258408443178212,0.8501324865314437,0.07758038958951756,0.12271691367715558,0.6884551599399102,0.8244337640474575,0.04344295935164732,0.5079787786133653,0.9164824518995445,0.12491241883643359,0.007999680206734893,30.0,26.8,3.2,78.0,58.0,20.0
