depth,method,abundance_group,number_of_rows,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,Spearman_RA
500,Raw shallow RA,Dominant (>=1e-2),6185,0.0067793271184246,0.0092867420540809,0.0990383166082903,0.1915658152682054,0.9376221382813938
500,Raw shallow RA,Common (1e-3 to 1e-2),11845,0.0019565241133375,0.0025689801997184,1.6636600494640497,2.826939212620838,0.6104567175314337
500,Raw shallow RA,Rare (1e-4 to 1e-3),23080,0.0005649736437794,0.0008503312777089,3.848360082928882,4.091828749035444,0.2418929246065774
500,Raw shallow RA,Reference zero,30180,0.0,0.0,0.0,0.0,
500,Raw shallow RA,Very rare (<1e-4),20150,8.188759440009983e-05,0.000296714848382,3.4645859049421244,3.4900611212013226,0.0927301860629479
500,Training-mean RA,Dominant (>=1e-2),6185,0.0261701123613643,0.0487549037024166,0.3407450724783856,0.4796723954669536,0.6116647839934387
500,Training-mean RA,Common (1e-3 to 1e-2),11845,0.0054103551088765,0.0150049606259454,0.4539449926543646,0.5864837756065066,0.4265688345323308
500,Training-mean RA,Rare (1e-4 to 1e-3),23080,0.0012063518943839,0.0043192533704032,0.4301382309306609,0.586420703784812,0.2417094350586217
500,Training-mean RA,Reference zero,30180,0.0004801321842344,0.002106624859223,4.347259513670815,4.365568851536222,
500,Training-mean RA,Very rare (<1e-4),20150,0.0007888883691383,0.0031784144595319,0.9671256547602924,1.1253415502008104,0.0344861766630146
500,Random Forest,Dominant (>=1e-2),6185,0.0068188135674958,0.0096972126937321,0.0922831283119088,0.1383774128258267,0.945613281148062
500,Random Forest,Common (1e-3 to 1e-2),11845,0.0015462595151098,0.0020933769652995,0.516408744088716,0.9196618255459592,0.6942051637119409
500,Random Forest,Rare (1e-4 to 1e-3),23080,0.0003138769220589,0.0004501703466484,1.0932871927199812,1.4142754524646848,0.3573364511022633
500,Random Forest,Reference zero,30180,7.342552531860272e-06,4.294443299898505e-05,1.5558654713601148,1.8668058274339383,
500,Random Forest,Very rare (<1e-4),20150,5.071959392539145e-05,0.000126044883445,1.1940769208439683,1.4608166230895807,0.2566555914026656
500,XGBoost,Dominant (>=1e-2),6185,0.0068696482337411,0.0095959648382332,0.0940957004538046,0.1399953535991208,0.9441694992834612
500,XGBoost,Common (1e-3 to 1e-2),11845,0.0016003807774029,0.0021489526872257,0.5274088119867407,0.9181046317000656,0.6894002883453053
500,XGBoost,Rare (1e-4 to 1e-3),23080,0.0003164448677454,0.0004477923396877,1.100703369512879,1.403049713293301,0.3582623035300814
500,XGBoost,Reference zero,30180,6.084104516721756e-06,3.271427127039334e-05,1.5776305007475435,1.8626476925864683,
500,XGBoost,Very rare (<1e-4),20150,4.777161009076288e-05,0.0001099612572101,1.166862224902208,1.4250313630334637,0.2596418211226454
1000,Raw shallow RA,Dominant (>=1e-2),6185,0.0048416382437124,0.0066513980845914,0.0662800555729801,0.0920256822466778,0.964759724328106
1000,Raw shallow RA,Common (1e-3 to 1e-2),11845,0.0013762156722169,0.00182108113811,0.7943033229716571,1.8269622241451977,0.7358125747088428
1000,Raw shallow RA,Rare (1e-4 to 1e-3),23080,0.0004498101163868,0.0006102102570666,3.2837843138046514,3.746993319204978,0.3340042100287188
1000,Raw shallow RA,Reference zero,30180,0.0,0.0,0.0,0.0,
1000,Raw shallow RA,Very rare (<1e-4),20150,7.862032776478493e-05,0.000205337099416,3.409530800874779,3.4522609459035833,0.1349038175658075
1000,Training-mean RA,Dominant (>=1e-2),6185,0.0261701123613643,0.0487549037024166,0.3407450724783856,0.4796723954669536,0.6116647839934387
1000,Training-mean RA,Common (1e-3 to 1e-2),11845,0.0054103551088765,0.0150049606259454,0.4539449926543646,0.5864837756065066,0.4265688345323308
1000,Training-mean RA,Rare (1e-4 to 1e-3),23080,0.0012063518943839,0.0043192533704032,0.4301382309306609,0.586420703784812,0.2417094350586217
1000,Training-mean RA,Reference zero,30180,0.0004801321842344,0.002106624859223,4.347259513670815,4.365568851536222,
1000,Training-mean RA,Very rare (<1e-4),20150,0.0007888883691383,0.0031784144595319,0.9671256547602924,1.1253415502008104,0.0344861766630146
1000,Random Forest,Dominant (>=1e-2),6185,0.0050398844402345,0.0071266925660104,0.0662667654076751,0.090661125630287,0.967122264230462
1000,Random Forest,Common (1e-3 to 1e-2),11845,0.0011976386880729,0.0016199257147355,0.3420383360494593,0.6776936631948942,0.7895357271141719
