depth,metric,direction,model,n_samples,raw_mean,model_mean,mean_oriented_improvement,improvement_ci_low,improvement_ci_high,relative_improvement_percent,sample_win_rate
500,Bray_Curtis,lower,Random Forest,72,0.11230018354250595,0.09713988664913671,0.01516029689336922,0.012401307850006722,0.017801742784890977,13.499797075247901,0.9166666666666666
500,Bray_Curtis,lower,XGBoost,72,0.11230018354250595,0.09923599214312225,0.013064191399383689,0.009978928515861232,0.015944247676206377,11.633276978963151,0.9027777777777778
500,Jensen_Shannon_distance,lower,Random Forest,72,0.1926092018091826,0.15072223500631837,0.041886966802864196,0.03758293886211281,0.04622986126363219,21.7471265180578,0.9583333333333334
500,Jensen_Shannon_distance,lower,XGBoost,72,0.1926092018091826,0.15274324361478336,0.03986595819439924,0.035400513386872556,0.04410204694725002,20.697847153686002,0.9583333333333334
500,RAD_RMSE_log10_RA_specific,lower,Random Forest,72,2.749223314727519,0.9853242183393333,1.7638990963881855,1.638523134854174,1.8783070057263676,64.15990607016256,0.9861111111111112
500,RAD_RMSE_log10_RA_specific,lower,XGBoost,72,2.749223314727519,0.9996310545641328,1.7495922601633866,1.6233013221931831,1.852725753804344,63.639510504325536,0.9861111111111112
500,RAD_tail_MAE_log10,lower,Random Forest,72,1.277688989846955,1.0985830840654853,0.1791059057814697,-0.03325199692597098,0.3886004836365097,14.017957985450236,0.5972222222222222
500,RAD_tail_MAE_log10,lower,XGBoost,72,1.277688989846955,1.1179935467172486,0.15969544312970657,-0.04761612972197286,0.36027954935572315,12.498772737239847,0.5972222222222222
500,Shannon_absolute_error,lower,Random Forest,72,0.10927083803887233,0.1691968646790908,-0.0599260266402185,-0.06707834227469009,-0.052457041193937806,-54.84173793825963,0.05555555555555555
500,Shannon_absolute_error,lower,XGBoost,72,0.10927083803887233,0.17201918637547722,-0.0627483483366049,-0.07015394297751834,-0.055722070469712504,-57.42460610971302,0.027777777777777776
500,Simpson_absolute_error,lower,Random Forest,72,0.006521812132303537,0.01040327359945372,-0.0038814614671501824,-0.004590166835359291,-0.00315609945441573,-59.51507630716175,0.1111111111111111
500,Simpson_absolute_error,lower,XGBoost,72,0.006521812132303537,0.010313490372038468,-0.003791678239734928,-0.004542074244940363,-0.0031535008577405154,-58.13841556327828,0.08333333333333333
500,richness_1read_absolute_error,lower,Random Forest,72,14.299999999999999,4.013888888888889,10.286111111111111,8.858125,11.581041666666664,71.93084693084693,0.9583333333333334
500,richness_1read_absolute_error,lower,XGBoost,72,14.299999999999999,4.116666666666667,10.183333333333334,8.811041666666666,11.524999999999999,71.2121212121212,0.9583333333333334
500,richness_fixed_absolute_error,lower,Random Forest,72,62.824999999999996,41.138888888888886,21.686111111111114,20.352708333333332,23.08381944444444,34.51828270769775,1.0
500,richness_fixed_absolute_error,lower,XGBoost,72,62.824999999999996,42.81944444444444,20.005555555555556,18.649861111111107,21.389027777777777,31.843303709598974,1.0
1000,Bray_Curtis,lower,Random Forest,72,0.0825354329258785,0.07530271336676082,0.0072327195591176795,0.005497209014400153,0.008939867992890807,8.763169105338156,0.8472222222222222
1000,Bray_Curtis,lower,XGBoost,72,0.0825354329258785,0.08129954743512192,0.0012358854907565768,-0.0025163959669644506,0.00468584529869968,1.4973999007995458,0.6527777777777778
1000,Jensen_Shannon_distance,lower,Random Forest,72,0.15004506206131832,0.12375954582225084,0.026285516239067483,0.02302523360271089,0.029415464261153147,17.518414720189515,0.9722222222222222
1000,Jensen_Shannon_distance,lower,XGBoost,72,0.15004506206131832,0.1271456100796838,0.022899451981634514,0.019079335522517196,0.026339751114259114,15.261716491727187,0.9444444444444444
1000,RAD_RMSE_log10_RA_specific,lower,Random Forest,72,2.4879710569859563,0.9571809519495709,1.5307901050363857,1.4079877625660198,1.6306180904485506,61.527649236034755,0.9722222222222222
1000,RAD_RMSE_log10_RA_specific,lower,XGBoost,72,2.4879710569859563,0.9739227992794296,1.5140482577065268,1.3975999314634995,1.6210496830785392,60.85473757643769,0.9722222222222222
1000,RAD_tail_MAE_log10,lower,Random Forest,72,1.277688989846955,1.060052768943223,0.21763622090373205,0.01954178984564011,0.4043152212923395,17.033583495917966,0.625
1000,RAD_tail_MAE_log10,lower,XGBoost,72,1.277688989846955,1.0876827774234845,0.1900062124234706,-0.013807371558663208,0.38181120411962993,14.87108474232293,0.6111111111111112
1000,Shannon_absolute_error,lower,Random Forest,72,0.06774831098600481,0.12551394072240163,-0.0577656297363968,-0.06402845464960825,-0.05138716997280089,-85.26504778595856,0.027777777777777776
1000,Shannon_absolute_error,lower,XGBoost,72,0.06774831098600481,0.13416431640599996,-0.06641600541999515,-0.07512335858492936,-0.05784830543955768,-98.03344829322035,0.06944444444444445
1000,Simpson_absolute_error,lower,Random Forest,72,0.004587588604922175,0.007701541368008961,-0.003113952763086786,-0.0038109057091249465,-0.0024727207784926847,-67.8777682843166,0.05555555555555555
1000,Simpson_absolute_error,lower,XGBoost,72,0.004587588604922175,0.011632222885605283,-0.007044634280683106,-0.010040028559205955,-0.004690910573024414,-153.55854431072325,0.08333333333333333
1000,richness_1read_absolute_error,lower,Random Forest,72,16.225,5.252777777777777,10.972222222222221,9.463819444444445,12.39736111111111,67.62540660845747,0.9444444444444444
1000,richness_1read_absolute_error,lower,XGBoost,72,16.225,5.824999999999999,10.399999999999999,8.972222222222221,11.872222222222222,64.09861325115564,0.9444444444444444
1000,richness_fixed_absolute_error,lower,Random Forest,72,47.92777777777778,34.80833333333333,13.119444444444445,11.872083333333332,14.491666666666667,27.3733626985047,1.0
1000,richness_fixed_absolute_error,lower,XGBoost,72,47.92777777777778,37.05,10.877777777777778,9.733055555555557,12.113958333333333,22.696186391561383,1.0
2000,Bray_Curtis,lower,Random Forest,72,0.05884696193379413,0.05540920106283994,0.0034377608709542026,0.0024176333830680987,0.004414324577548628,5.841866356366617,0.7916666666666666
