depth,method,metric,n_samples,mean,std,median,q25,q75
500,Random Forest,composition_RMSE_RA,72,0.0025868021104329,0.0003193868595932,0.002547103867017,0.0023748948904387,0.0028078935599731
500,Random Forest,composition_Spearman,72,0.7940726751019475,0.0701039769153111,0.8074171323032794,0.7560218390876214,0.8485233692895049
500,Random Forest,Bray_Curtis,72,0.0971442983961224,0.0151403055287111,0.0958302435345547,0.0892030470698865,0.1045441032884258
500,Random Forest,Jensen_Shannon_distance,72,0.1510216100877871,0.0223050381790442,0.1526606885580189,0.1446441815649392,0.1645927790524261
500,Random Forest,RAD_MAE_log10_RA_specific,72,0.8079357418225653,0.1600054891690442,0.790992826146939,0.7082966390118554,0.844817883427153
500,Random Forest,RAD_RMSE_log10_RA_specific,72,0.997023334494361,0.2185502233119586,0.9555015704071989,0.8698182552911731,1.007915691381197
500,Random Forest,RAD_head_MAE_log10,72,0.0487773360481316,0.0076488124971053,0.0481444587365944,0.0449826660309729,0.0520841935502902
500,Random Forest,RAD_middle_MAE_log10,72,0.5559231732429448,0.1726259441053531,0.5742544926065566,0.437734807267748,0.6477051859547688
500,Random Forest,RAD_tail_MAE_log10,72,1.1118608764142537,0.2558221921926482,1.0772739274476788,1.014953111445543,1.171352753027568
500,Random Forest,Shannon_absolute_error,72,0.1627090598112735,0.0482178958474131,0.166939332837207,0.1331378094389698,0.1958224877656848
500,Random Forest,Simpson_absolute_error,72,0.0095626549386821,0.0044161851943769,0.0087225907733127,0.0068121101301367,0.0109847902804073
500,Random Forest,true_richness_1read,72,37.333333333333336,7.854307152452749,36.0,31.75,44.0
500,Random Forest,predicted_richness_1read,72,34.047222222222224,6.81502011864436,34.0,28.0,39.8
500,Random Forest,richness_1read_absolute_error,72,3.830555555555556,1.9583435720439568,3.5,2.2,4.85
500,Random Forest,true_richness_fixed,72,114.45833333333331,29.351170286431486,116.0,89.0,139.25
500,Random Forest,predicted_richness_fixed,72,73.6277777777778,15.768012032050189,70.5,59.1,89.1
500,Random Forest,richness_fixed_absolute_error,72,41.00277777777778,17.68231369270963,45.4,29.05,54.35
500,Raw shallow RA,composition_RMSE_RA,72,0.0025814553629638,0.000273564152064,0.0025818866312486,0.0024207096573119,0.0027416958516359
500,Raw shallow RA,composition_Spearman,72,0.6702512717580505,0.0465926371268352,0.6718417253482862,0.641915635247923,0.6962254999186747
500,Raw shallow RA,Bray_Curtis,72,0.112439173599478,0.0179420558586323,0.1109615068634792,0.0992024675000949,0.1318865256832746
500,Raw shallow RA,Jensen_Shannon_distance,72,0.1922347815844449,0.0238495994384514,0.1953755077490716,0.1718781301209055,0.2128011926269175
500,Raw shallow RA,RAD_MAE_log10_RA_specific,72,1.8904554682375572,0.431755740906645,2.000693724874308,1.7394364069384776,2.1789329661157444
500,Raw shallow RA,RAD_RMSE_log10_RA_specific,72,2.7436251196631836,0.3490762912976269,2.817081983293832,2.5939749441136692,2.975839173994641
500,Raw shallow RA,RAD_head_MAE_log10,72,0.0485440269838742,0.0072677152417032,0.0475289531618327,0.0443682885587335,0.0521227830381067
500,Raw shallow RA,RAD_middle_MAE_log10,72,2.7831413585174207,0.35664974803798,2.8342467292708147,2.579993795620483,3.053175890669044
500,Raw shallow RA,RAD_tail_MAE_log10,72,1.277688989846955,0.8218198208285932,1.3327628638268063,0.605160656436417,1.9409331697660537
500,Raw shallow RA,Shannon_absolute_error,72,0.1036380172061957,0.0311963048581689,0.0982494448260846,0.0844874917130201,0.1194628730447556
500,Raw shallow RA,Simpson_absolute_error,72,0.0059786900221661,0.0043196286490521,0.0045433090284712,0.0034544069318954,0.0070387980312376
500,Raw shallow RA,true_richness_1read,72,37.333333333333336,7.854307152452749,36.0,31.75,44.0
500,Raw shallow RA,predicted_richness_1read,72,51.916666666666664,10.853012822435236,52.7,43.9,62.2
500,Raw shallow RA,richness_1read_absolute_error,72,14.583333333333334,4.920981237317225,15.0,10.6,17.85
500,Raw shallow RA,true_richness_fixed,72,114.45833333333331,29.351170286431486,116.0,89.0,139.25
500,Raw shallow RA,predicted_richness_fixed,72,51.916666666666664,10.853012822435236,52.7,43.9,62.2
500,Raw shallow RA,richness_fixed_absolute_error,72,62.541666666666664,19.891435980142628,64.4,46.25,78.64999999999999
500,Training-mean RA,composition_RMSE_RA,72,0.0132603616478729,0.0047588661517308,0.0119728497107974,0.0101612362022873,0.0146207513978813
500,Training-mean RA,composition_Spearman,72,0.5854992486605802,0.060413080359585,0.5861618683916767,0.5581597451093464,0.6275087137141178
500,Training-mean RA,Bray_Curtis,72,0.3985704493983644,0.0752000783603454,0.394419813052308,0.3449927030817201,0.4443466183333281
500,Training-mean RA,Jensen_Shannon_distance,72,0.4520867246319424,0.0683620382015574,0.4437101515592175,0.4060989644010537,0.4905584083602715
500,Training-mean RA,RAD_MAE_log10_RA_specific,72,1.676069943689311,0.5780819799243232,1.5933264092053212,1.1912096489068889,2.1031929667152953
500,Training-mean RA,RAD_RMSE_log10_RA_specific,72,2.362900486697379,0.4968703103739382,2.3022467052505853,2.003418062500307,2.702143840952833
