depth,rf_validation_log_rmse,xgb_validation_log_rmse,xgb_best_iteration,rf_first_fit_minutes,xgb_first_fit_minutes,total_depth_minutes
500,1.482925211682013,1.467560062901436,542,0.1243072986602783,0.0693234324455261,0.5232005834579467
1000,1.431057200879054,1.4116467236382846,548,0.1292564988136291,0.0687202175458272,0.5532768487930297
2000,1.3475086822219329,1.3266309075751916,532,0.1484535177548726,0.0723332643508911,0.6456113338470459
5000,1.2186380593884416,1.1927939416182725,490,0.1724900841712951,0.0636158863703409,0.6636715849240621
